,世代,時間,出力数,前世代までの合計
0,7th, 1 minutes 35 seconds,2,0
1,8th, 1 minutes 48 seconds,3,2
2,10th, 2 minutes 21 seconds,1,5
3,11th, 2 minutes 39 seconds,1,6
4,12th, 2 minutes 58 seconds,1,7
5,14th, 3 minutes 34 seconds,2,8
6,18th, 4 minutes 59 seconds,2,10
7,19th, 5 minutes 21 seconds,1,12
8,20th, 5 minutes 40 seconds,2,13
9,21st, 6 minutes 3 seconds,2,15
10,22nd, 6 minutes 20 seconds,3,17
11,26th, 7 minutes 48 seconds,1,20
12,27th, 8 minutes 14 seconds,1,21
13,29th, 9 minutes 4 seconds,1,22
14,31st, 9 minutes 50 seconds,1,23
15,33rd, 10 minutes 28 seconds,1,24
16,36th, 11 minutes 31 seconds,1,25
17,39th, 12 minutes 36 seconds,2,26
18,40th, 13 minutes 5 seconds,2,28
19,44th, 14 minutes 32 seconds,1,30
20,45th, 14 minutes 49 seconds,1,31
21,49th, 15 minutes 42 seconds,1,32
22,50th, 16 minutes 0 seconds,1,33
23,51st, 16 minutes 13 seconds,1,34
24,52nd, 16 minutes 26 seconds,1,35
25,53rd, 16 minutes 42 seconds,2,36
26,54th, 16 minutes 56 seconds,1,38
27,55th, 17 minutes 10 seconds,1,39
28,56th, 17 minutes 23 seconds,1,40
29,57th, 17 minutes 35 seconds,1,41
30,58th, 17 minutes 51 seconds,1,42
31,60th, 18 minutes 23 seconds,1,43
32,65th, 19 minutes 30 seconds,2,44
33,66th, 19 minutes 44 seconds,2,46
34,71st, 20 minutes 39 seconds,1,48
35,74th, 21 minutes 9 seconds,1,49
36,75th, 21 minutes 20 seconds,1,50
37,81st, 22 minutes 38 seconds,1,51
38,83rd, 23 minutes 8 seconds,2,52
39,84th, 23 minutes 19 seconds,1,54
40,86th, 23 minutes 49 seconds,1,55
41,88th, 24 minutes 20 seconds,1,56
42,89th, 24 minutes 34 seconds,1,57
43,92nd, 25 minutes 13 seconds,2,58
44,95th, 25 minutes 48 seconds,1,60
45,96th, 25 minutes 58 seconds,1,61
46,97th, 26 minutes 9 seconds,1,62
47,102nd, 26 minutes 52 seconds,1,63
48,103rd, 27 minutes 2 seconds,1,64
49,106th, 27 minutes 34 seconds,1,65
50,113th, 28 minutes 38 seconds,1,66
51,114th, 28 minutes 49 seconds,1,67
52,117th, 29 minutes 20 seconds,1,68
53,119th, 29 minutes 45 seconds,1,69
54,130th, 31 minutes 42 seconds,1,70
55,139th, 33 minutes 35 seconds,1,71
56,140th, 33 minutes 46 seconds,1,72
57,143rd, 34 minutes 26 seconds,3,73
58,156th, 36 minutes 50 seconds,1,76
59,157th, 37 minutes 4 seconds,1,77
60,162nd, 37 minutes 55 seconds,1,78
61,163rd, 38 minutes 8 seconds,1,79
62,165th, 38 minutes 31 seconds,1,80
63,166th, 38 minutes 42 seconds,1,81
64,176th, 40 minutes 45 seconds,1,82
65,177th, 40 minutes 59 seconds,1,83
66,178th, 41 minutes 12 seconds,1,84
67,183rd, 42 minutes 22 seconds,2,85
68,184th, 42 minutes 41 seconds,2,87
69,186th, 43 minutes 9 seconds,1,89
70,188th, 43 minutes 40 seconds,1,90
71,190th, 44 minutes 9 seconds,1,91
72,192nd, 44 minutes 37 seconds,1,92
73,193rd, 44 minutes 52 seconds,1,93
74,196th, 45 minutes 37 seconds,2,94
75,202nd, 47 minutes 7 seconds,1,96
76,203rd, 47 minutes 23 seconds,1,97
77,205th, 47 minutes 50 seconds,1,98
78,207th, 48 minutes 15 seconds,1,99
