,世代,時間,出力数,前世代までの合計
0,2nd, 16 seconds,1,0
1,4th, 36 seconds,1,1
2,6th, 1 minutes 5 seconds,2,2
3,8th, 1 minutes 29 seconds,2,4
4,10th, 1 minutes 53 seconds,1,6
5,11th, 2 minutes 5 seconds,1,7
6,12th, 2 minutes 18 seconds,2,8
7,13th, 2 minutes 34 seconds,1,10
8,14th, 2 minutes 48 seconds,3,11
9,16th, 3 minutes 17 seconds,1,14
10,18th, 3 minutes 43 seconds,2,15
11,20th, 4 minutes 17 seconds,2,17
12,22nd, 4 minutes 53 seconds,1,19
13,23rd, 5 minutes 10 seconds,2,20
14,24th, 5 minutes 29 seconds,2,22
15,31st, 7 minutes 9 seconds,2,24
16,32nd, 7 minutes 30 seconds,1,26
17,36th, 8 minutes 58 seconds,1,27
18,38th, 9 minutes 40 seconds,1,28
19,39th, 10 minutes 6 seconds,2,29
20,40th, 10 minutes 22 seconds,1,31
21,42nd, 10 minutes 47 seconds,1,32
22,44th, 11 minutes 15 seconds,3,33
23,45th, 11 minutes 26 seconds,4,36
24,47th, 11 minutes 53 seconds,1,40
25,48th, 12 minutes 3 seconds,1,41
26,49th, 12 minutes 12 seconds,2,42
27,51st, 12 minutes 38 seconds,1,44
28,52nd, 12 minutes 52 seconds,1,45
29,55th, 13 minutes 23 seconds,1,46
30,56th, 13 minutes 33 seconds,1,47
31,63rd, 15 minutes 10 seconds,1,48
32,65th, 15 minutes 37 seconds,2,49
33,78th, 18 minutes 26 seconds,1,51
34,79th, 18 minutes 38 seconds,1,52
35,81st, 19 minutes 7 seconds,2,53
36,83rd, 19 minutes 31 seconds,1,55
37,84th, 19 minutes 42 seconds,2,56
38,88th, 20 minutes 26 seconds,2,58
39,89th, 20 minutes 36 seconds,1,60
40,90th, 20 minutes 45 seconds,1,61
41,91st, 20 minutes 53 seconds,2,62
42,94th, 21 minutes 28 seconds,1,64
43,98th, 22 minutes 2 seconds,1,65
44,100th, 22 minutes 18 seconds,1,66
45,108th, 23 minutes 16 seconds,1,67
46,110th, 23 minutes 34 seconds,1,68
47,115th, 24 minutes 15 seconds,1,69
48,120th, 25 minutes 7 seconds,2,70
49,122nd, 25 minutes 26 seconds,1,72
50,123rd, 25 minutes 37 seconds,1,73
51,124th, 25 minutes 46 seconds,1,74
52,125th, 25 minutes 56 seconds,1,75
53,128th, 26 minutes 27 seconds,2,76
54,130th, 26 minutes 45 seconds,1,78
55,140th, 28 minutes 21 seconds,2,79
56,141st, 28 minutes 30 seconds,1,81
57,145th, 29 minutes 11 seconds,1,82
58,147th, 29 minutes 31 seconds,1,83
59,149th, 29 minutes 48 seconds,1,84
60,150th, 29 minutes 57 seconds,1,85
61,152nd, 30 minutes 15 seconds,2,86
62,153rd, 30 minutes 22 seconds,1,88
63,160th, 31 minutes 42 seconds,3,89
64,162nd, 32 minutes 3 seconds,1,92
65,164th, 32 minutes 22 seconds,1,93
66,167th, 32 minutes 48 seconds,2,94
67,169th, 33 minutes 5 seconds,1,96
68,172nd, 33 minutes 33 seconds,2,97
69,173rd, 33 minutes 42 seconds,1,99
