,世代,時間,出力数,前世代までの合計
0,2nd, 17 seconds,1,0
1,3rd, 30 seconds,1,1
2,7th, 1 minutes 19 seconds,1,2
3,8th, 1 minutes 38 seconds,1,3
4,9th, 2 minutes 1 seconds,1,4
5,10th, 2 minutes 22 seconds,1,5
6,11th, 2 minutes 36 seconds,1,6
7,14th, 3 minutes 25 seconds,1,7
8,21st, 5 minutes 54 seconds,1,8
9,22nd, 6 minutes 16 seconds,1,9
10,23rd, 6 minutes 38 seconds,1,10
11,25th, 7 minutes 21 seconds,1,11
12,27th, 8 minutes 14 seconds,1,12
13,28th, 8 minutes 42 seconds,1,13
14,29th, 9 minutes 8 seconds,2,14
15,30th, 9 minutes 33 seconds,1,16
16,33rd, 10 minutes 49 seconds,2,17
17,34th, 11 minutes 15 seconds,1,19
18,35th, 11 minutes 46 seconds,2,20
19,39th, 13 minutes 27 seconds,2,22
20,40th, 13 minutes 48 seconds,1,24
21,42nd, 14 minutes 34 seconds,1,25
22,44th, 15 minutes 23 seconds,3,26
23,48th, 16 minutes 41 seconds,1,29
24,49th, 17 minutes 4 seconds,1,30
25,54th, 18 minutes 50 seconds,2,31
26,59th, 20 minutes 41 seconds,1,33
27,60th, 21 minutes 5 seconds,1,34
28,62nd, 21 minutes 55 seconds,1,35
29,69th, 24 minutes 35 seconds,1,36
30,74th, 26 minutes 5 seconds,1,37
31,77th, 26 minutes 59 seconds,2,38
32,84th, 29 minutes 2 seconds,1,40
33,90th, 30 minutes 45 seconds,1,41
34,92nd, 31 minutes 28 seconds,1,42
35,93rd, 31 minutes 50 seconds,1,43
36,96th, 32 minutes 52 seconds,2,44
37,99th, 33 minutes 50 seconds,1,46
38,104th, 35 minutes 15 seconds,1,47
39,105th, 35 minutes 35 seconds,1,48
40,107th, 36 minutes 3 seconds,1,49
41,110th, 36 minutes 51 seconds,1,50
42,115th, 38 minutes 7 seconds,1,51
43,117th, 38 minutes 40 seconds,1,52
44,118th, 39 minutes 0 seconds,1,53
45,122nd, 40 minutes 15 seconds,1,54
46,125th, 41 minutes 9 seconds,1,55
47,140th, 45 minutes 57 seconds,1,56
48,142nd, 46 minutes 34 seconds,1,57
49,143rd, 46 minutes 58 seconds,1,58
50,144th, 47 minutes 19 seconds,1,59
51,149th, 49 minutes 19 seconds,2,60
52,152nd, 50 minutes 34 seconds,1,62
53,155th, 52 minutes 10 seconds,1,63
54,156th, 52 minutes 33 seconds,1,64
55,157th, 53 minutes 0 seconds,1,65
56,159th, 53 minutes 43 seconds,1,66
57,163rd, 55 minutes 19 seconds,1,67
58,168th, 57 minutes 29 seconds,1,68
59,169th, 57 minutes 59 seconds,1,69
60,173rd, 1 hours 10 seconds,1,70
61,174th, 1 hours 33 seconds,2,71
62,175th, 1 hours 54 seconds,1,73
63,176th, 1 hours 1 minutes 18 seconds,1,74
64,178th, 1 hours 1 minutes 58 seconds,3,75
65,179th, 1 hours 2 minutes 18 seconds,1,78
66,180th, 1 hours 2 minutes 38 seconds,1,79
67,181st, 1 hours 3 minutes 4 seconds,1,80
68,182nd, 1 hours 3 minutes 30 seconds,1,81
69,183rd, 1 hours 3 minutes 59 seconds,2,82
70,184th, 1 hours 4 minutes 32 seconds,1,84
71,185th, 1 hours 4 minutes 58 seconds,1,85
72,189th, 1 hours 6 minutes 57 seconds,1,86
73,191st, 1 hours 8 minutes 4 seconds,3,87
74,192nd, 1 hours 8 minutes 32 seconds,1,90
75,194th, 1 hours 9 minutes 10 seconds,1,91
76,195th, 1 hours 9 minutes 31 seconds,2,92
77,196th, 1 hours 9 minutes 53 seconds,2,94
78,198th, 1 hours 10 minutes 32 seconds,3,96
79,200th, 1 hours 10 minutes 51 seconds,1,99
