,世代,時間,出力数,前世代までの合計
0,3rd, 26 seconds,2,0
1,6th, 1 minutes 1 seconds,1,2
2,8th, 1 minutes 22 seconds,2,3
3,9th, 1 minutes 30 seconds,1,5
4,10th, 1 minutes 38 seconds,1,6
5,11th, 1 minutes 50 seconds,1,7
6,13th, 2 minutes 28 seconds,3,8
7,16th, 3 minutes 26 seconds,3,11
8,17th, 3 minutes 49 seconds,1,14
9,18th, 4 minutes 7 seconds,2,15
10,20th, 4 minutes 51 seconds,1,17
11,23rd, 6 minutes 0 seconds,2,18
12,26th, 6 minutes 54 seconds,1,20
13,29th, 7 minutes 42 seconds,1,21
14,30th, 8 minutes 1 seconds,2,22
15,33rd, 8 minutes 48 seconds,1,24
16,35th, 9 minutes 34 seconds,1,25
17,40th, 11 minutes 32 seconds,1,26
18,42nd, 12 minutes 4 seconds,1,27
19,45th, 12 minutes 53 seconds,2,28
20,48th, 13 minutes 30 seconds,1,30
21,50th, 13 minutes 54 seconds,2,31
22,53rd, 14 minutes 32 seconds,1,33
23,56th, 15 minutes 4 seconds,1,34
24,58th, 15 minutes 24 seconds,1,35
25,61st, 15 minutes 55 seconds,1,36
26,65th, 16 minutes 36 seconds,2,37
27,69th, 17 minutes 20 seconds,1,39
28,70th, 17 minutes 33 seconds,1,40
29,71st, 17 minutes 44 seconds,1,41
30,74th, 18 minutes 19 seconds,1,42
31,80th, 20 minutes 1 seconds,1,43
32,83rd, 20 minutes 36 seconds,1,44
33,90th, 21 minutes 33 seconds,1,45
34,114th, 25 minutes 21 seconds,1,46
35,116th, 25 minutes 43 seconds,1,47
36,120th, 26 minutes 30 seconds,1,48
37,121st, 26 minutes 42 seconds,2,49
38,123rd, 27 minutes 10 seconds,1,51
39,127th, 27 minutes 50 seconds,2,52
40,209th, 40 minutes 45 seconds,1,54
