,世代,時間,出力数,前世代までの合計
0,3rd, 1 minutes 13 seconds,1,0
1,6th, 2 minutes 51 seconds,1,1
2,8th, 3 minutes 59 seconds,1,2
3,10th, 5 minutes 30 seconds,1,3
4,11th, 6 minutes 21 seconds,1,4
5,12th, 7 minutes 10 seconds,3,5
6,13th, 8 minutes 10 seconds,1,8
7,14th, 9 minutes 7 seconds,1,9
8,17th, 11 minutes 58 seconds,3,10
9,18th, 13 minutes 0 seconds,3,13
10,19th, 13 minutes 53 seconds,2,16
11,21st, 15 minutes 38 seconds,2,18
12,22nd, 16 minutes 36 seconds,4,20
13,25th, 19 minutes 32 seconds,2,24
14,26th, 20 minutes 39 seconds,2,26
15,27th, 21 minutes 34 seconds,1,28
16,28th, 22 minutes 31 seconds,2,29
17,29th, 23 minutes 21 seconds,1,31
18,30th, 24 minutes 8 seconds,2,32
19,31st, 25 minutes 8 seconds,1,34
20,32nd, 26 minutes 2 seconds,1,35
21,33rd, 27 minutes 3 seconds,4,36
22,34th, 28 minutes 8 seconds,1,40
23,35th, 29 minutes 14 seconds,3,41
24,36th, 30 minutes 0 seconds,3,44
25,37th, 30 minutes 47 seconds,3,47
26,40th, 33 minutes 20 seconds,1,50
27,41st, 34 minutes 19 seconds,1,51
28,42nd, 35 minutes 21 seconds,2,52
29,43rd, 36 minutes 18 seconds,2,54
30,46th, 38 minutes 53 seconds,1,56
31,47th, 39 minutes 45 seconds,1,57
32,48th, 40 minutes 35 seconds,2,58
33,49th, 41 minutes 29 seconds,2,60
34,50th, 42 minutes 25 seconds,2,62
35,51st, 43 minutes 31 seconds,1,64
36,52nd, 44 minutes 34 seconds,1,65
37,53rd, 45 minutes 18 seconds,2,66
38,54th, 46 minutes 3 seconds,3,68
39,59th, 50 minutes 2 seconds,2,71
40,68th, 57 minutes 55 seconds,1,73
41,70th, 59 minutes 37 seconds,1,74
42,72nd, 1 hours 1 minutes 33 seconds,1,75
43,73rd, 1 hours 2 minutes 45 seconds,1,76
44,75th, 1 hours 4 minutes 16 seconds,1,77
45,77th, 1 hours 5 minutes 53 seconds,1,78
46,79th, 1 hours 7 minutes 36 seconds,1,79
47,80th, 1 hours 8 minutes 23 seconds,1,80
48,83rd, 1 hours 11 minutes 1 seconds,2,81
49,84th, 1 hours 11 minutes 57 seconds,5,83
50,85th, 1 hours 12 minutes 51 seconds,1,88
51,87th, 1 hours 14 minutes 32 seconds,1,89
52,88th, 1 hours 15 minutes 23 seconds,3,90
53,89th, 1 hours 16 minutes 21 seconds,1,93
54,90th, 1 hours 17 minutes 26 seconds,3,94
55,91st, 1 hours 18 minutes 31 seconds,1,97
56,92nd, 1 hours 19 minutes 34 seconds,1,98
57,93rd, 1 hours 19 minutes 38 seconds,1,99
