,世代,時間,出力数,前世代までの合計
0,2nd, 20 seconds,1,0
1,3rd, 40 seconds,2,1
2,4th, 1 minutes 7 seconds,3,3
3,5th, 1 minutes 38 seconds,2,6
4,6th, 2 minutes 8 seconds,4,8
5,7th, 2 minutes 39 seconds,6,12
6,8th, 3 minutes 11 seconds,2,18
7,9th, 3 minutes 47 seconds,5,20
8,10th, 4 minutes 26 seconds,4,25
9,11th, 5 minutes 20 seconds,7,29
10,12th, 6 minutes 17 seconds,4,36
11,13th, 7 minutes 17 seconds,2,40
12,14th, 8 minutes 24 seconds,6,42
13,15th, 9 minutes 13 seconds,5,48
14,16th, 9 minutes 59 seconds,4,53
15,17th, 10 minutes 48 seconds,3,57
16,18th, 11 minutes 36 seconds,6,60
17,19th, 12 minutes 23 seconds,1,66
18,20th, 13 minutes 6 seconds,1,67
19,21st, 14 minutes 2 seconds,3,68
20,22nd, 14 minutes 53 seconds,1,71
21,23rd, 16 minutes 2 seconds,4,72
22,24th, 16 minutes 48 seconds,2,76
23,25th, 17 minutes 35 seconds,3,78
24,26th, 18 minutes 26 seconds,3,81
25,27th, 19 minutes 18 seconds,3,84
26,28th, 20 minutes 22 seconds,6,87
27,29th, 21 minutes 10 seconds,7,93
