,世代,時間,出力数,前世代までの合計
0,3rd, 1 minutes 30 seconds,2,0
1,4th, 2 minutes 12 seconds,1,2
2,5th, 2 minutes 41 seconds,2,3
3,6th, 3 minutes 14 seconds,1,5
4,7th, 3 minutes 50 seconds,1,6
5,8th, 4 minutes 28 seconds,3,7
6,10th, 5 minutes 43 seconds,1,10
7,11th, 6 minutes 30 seconds,1,11
8,13th, 8 minutes 31 seconds,3,12
9,14th, 9 minutes 25 seconds,1,15
10,15th, 10 minutes 14 seconds,1,16
11,16th, 11 minutes 0 seconds,1,17
12,17th, 11 minutes 50 seconds,2,18
13,18th, 12 minutes 37 seconds,1,20
14,19th, 13 minutes 28 seconds,3,21
15,20th, 14 minutes 27 seconds,4,24
16,21st, 15 minutes 28 seconds,2,28
17,25th, 19 minutes 15 seconds,3,30
18,26th, 20 minutes 10 seconds,2,33
19,27th, 21 minutes 7 seconds,1,35
20,30th, 23 minutes 28 seconds,3,36
21,32nd, 24 minutes 56 seconds,2,39
22,35th, 27 minutes 21 seconds,3,41
23,36th, 28 minutes 6 seconds,1,44
24,37th, 28 minutes 41 seconds,1,45
25,40th, 30 minutes 6 seconds,1,46
26,43rd, 31 minutes 38 seconds,1,47
27,45th, 32 minutes 51 seconds,4,48
28,48th, 34 minutes 24 seconds,1,52
29,51st, 36 minutes 38 seconds,1,53
30,52nd, 37 minutes 10 seconds,1,54
31,55th, 38 minutes 35 seconds,3,55
32,57th, 39 minutes 36 seconds,1,58
33,60th, 40 minutes 47 seconds,2,59
34,62nd, 41 minutes 32 seconds,1,61
35,63rd, 41 minutes 59 seconds,1,62
36,64th, 42 minutes 23 seconds,2,63
37,66th, 43 minutes 24 seconds,1,65
38,67th, 43 minutes 44 seconds,2,66
39,69th, 44 minutes 41 seconds,1,68
40,70th, 45 minutes 12 seconds,2,69
41,71st, 45 minutes 40 seconds,1,71
42,72nd, 46 minutes 4 seconds,1,72
43,73rd, 46 minutes 39 seconds,2,73
44,74th, 47 minutes 10 seconds,2,75
45,78th, 48 minutes 58 seconds,3,77
46,85th, 51 minutes 8 seconds,2,80
47,88th, 52 minutes 2 seconds,1,82
48,90th, 52 minutes 33 seconds,1,83
49,91st, 52 minutes 52 seconds,1,84
50,93rd, 53 minutes 27 seconds,2,85
51,96th, 54 minutes 26 seconds,3,87
52,97th, 54 minutes 47 seconds,1,90
53,99th, 55 minutes 29 seconds,2,91
54,100th, 55 minutes 53 seconds,1,93
55,101st, 56 minutes 12 seconds,1,94
56,105th, 57 minutes 27 seconds,1,95
57,106th, 57 minutes 51 seconds,1,96
58,107th, 58 minutes 14 seconds,3,97
