,世代,時間,出力数,前世代までの合計
0,1st, 2 seconds,1,0
1,2nd, 3 minutes 5 seconds,2,1
2,3rd, 21 minutes 9 seconds,1,3
3,4th, 1 hours 14 seconds,1,4
4,6th, 3 hours 52 minutes 4 seconds,1,5
5,7th, 4 hours 46 minutes 10 seconds,1,6
6,8th, 4 hours 49 minutes 14 seconds,1,7
7,9th, 4 hours 52 minutes 20 seconds,4,8
8,10th, 4 hours 52 minutes 26 seconds,2,12
9,11th, 4 hours 52 minutes 33 seconds,1,14
10,12th, 4 hours 58 minutes 40 seconds,1,15
11,13th, 4 hours 58 minutes 47 seconds,1,16
12,14th, 4 hours 58 minutes 54 seconds,3,17
13,15th, 4 hours 59 minutes 3 seconds,4,20
14,16th, 4 hours 59 minutes 11 seconds,2,24
15,17th, 4 hours 59 minutes 18 seconds,1,26
16,18th, 5 hours 5 minutes 27 seconds,1,27
17,19th, 5 hours 8 minutes 36 seconds,5,28
18,20th, 5 hours 8 minutes 43 seconds,3,33
19,23rd, 5 hours 24 minutes 9 seconds,1,36
20,24th, 5 hours 27 minutes 18 seconds,2,37
21,25th, 5 hours 33 minutes 27 seconds,1,39
22,26th, 5 hours 39 minutes 36 seconds,3,40
23,28th, 5 hours 42 minutes 55 seconds,2,43
24,29th, 5 hours 43 minutes 5 seconds,2,45
25,31st, 5 hours 55 minutes 24 seconds,2,47
26,32nd, 6 hours 8 minutes 46 seconds,1,49
27,33rd, 6 hours 11 minutes 56 seconds,3,50
28,35th, 6 hours 27 minutes 16 seconds,3,53
29,36th, 6 hours 33 minutes 26 seconds,1,56
30,37th, 6 hours 51 minutes 36 seconds,1,57
31,38th, 6 hours 51 minutes 44 seconds,3,58
32,39th, 6 hours 51 minutes 54 seconds,2,61
33,40th, 6 hours 55 minutes 4 seconds,1,63
34,41st, 7 hours 4 minutes 14 seconds,4,64
35,42nd, 7 hours 13 minutes 23 seconds,3,68
36,43rd, 7 hours 13 minutes 33 seconds,3,71
37,44th, 7 hours 13 minutes 44 seconds,1,74
38,45th, 7 hours 13 minutes 54 seconds,2,75
39,46th, 7 hours 14 minutes 3 seconds,2,77
40,47th, 7 hours 17 minutes 12 seconds,4,79
41,48th, 7 hours 38 minutes 22 seconds,1,83
42,50th, 7 hours 53 minutes 41 seconds,1,84
43,51st, 7 hours 56 minutes 50 seconds,3,85
44,52nd, 7 hours 56 minutes 59 seconds,4,88
45,53rd, 8 hours 6 minutes 8 seconds,3,92
46,54th, 8 hours 6 minutes 17 seconds,3,95
47,56th, 8 hours 6 minutes 37 seconds,1,98
48,57th, 8 hours 6 minutes 38 seconds,1,99
