,世代,時間,出力数,前世代までの合計
0,2nd, 1 hours 3 minutes 3 seconds,1,0
1,8th, 5 hours 40 seconds,1,1
2,10th, 5 hours 41 minutes 33 seconds,2,2
3,11th, 5 hours 41 minutes 37 seconds,1,4
4,17th, 5 hours 41 minutes 53 seconds,1,5
5,21st, 5 hours 42 minutes 7 seconds,1,6
6,30th, 6 hours 36 minutes 41 seconds,1,7
7,31st, 6 hours 36 minutes 45 seconds,1,8
8,35th, 6 hours 52 minutes 3 seconds,1,9
9,42nd, 7 hours 26 minutes 53 seconds,1,10
10,45th, 8 hours 15 minutes 11 seconds,1,11
11,47th, 8 hours 15 minutes 21 seconds,2,12
12,56th, 8 hours 25 minutes 16 seconds,1,14
13,58th, 8 hours 25 minutes 33 seconds,2,15
14,61st, 8 hours 41 minutes 0 seconds,1,17
15,62nd, 8 hours 41 minutes 8 seconds,2,18
16,63rd, 8 hours 41 minutes 16 seconds,1,20
17,65th, 8 hours 41 minutes 33 seconds,1,21
18,66th, 8 hours 41 minutes 43 seconds,1,22
19,69th, 8 hours 42 minutes 7 seconds,1,23
20,89th, 9 hours 8 minutes 54 seconds,1,24
21,92nd, 9 hours 9 minutes 25 seconds,2,25
22,93rd, 9 hours 9 minutes 36 seconds,1,27
23,109th, 9 hours 27 minutes 38 seconds,1,28
24,114th, 9 hours 28 minutes 42 seconds,1,29
25,115th, 9 hours 28 minutes 56 seconds,2,30
26,125th, 9 hours 49 minutes 15 seconds,1,32
27,126th, 9 hours 49 minutes 28 seconds,1,33
28,137th, 9 hours 51 minutes 57 seconds,1,34
29,159th, 9 hours 56 minutes 20 seconds,1,35
30,164th, 9 hours 57 minutes 19 seconds,1,36
31,205th, 11 hours 10 minutes 18 seconds,1,37
32,255th, 11 hours 25 minutes 52 seconds,1,38
33,265th, 11 hours 44 minutes 39 seconds,1,39
34,271st, 11 hours 46 minutes 53 seconds,1,40
35,313th, 12 hours 39 minutes 37 seconds,1,41
36,315th, 12 hours 40 minutes 29 seconds,1,42
37,343rd, 13 hours 23 minutes 42 seconds,1,43
38,349th, 13 hours 27 minutes 38 seconds,2,44
39,350th, 13 hours 28 minutes 7 seconds,1,46
40,354th, 13 hours 30 minutes 1 seconds,2,47
41,355th, 13 hours 30 minutes 31 seconds,1,49
42,357th, 13 hours 31 minutes 27 seconds,2,50
43,358th, 13 hours 31 minutes 55 seconds,1,52
44,360th, 13 hours 32 minutes 48 seconds,1,53
45,362nd, 13 hours 33 minutes 42 seconds,2,54
46,363rd, 13 hours 34 minutes 9 seconds,1,56
47,364th, 13 hours 52 minutes 32 seconds,3,57
48,365th, 14 hours 19 minutes 51 seconds,2,60
49,366th, 14 hours 47 minutes 7 seconds,1,62
50,368th, 15 hours 15 minutes 0 seconds,5,63
51,369th, 15 hours 24 minutes 23 seconds,2,68
52,370th, 15 hours 24 minutes 50 seconds,4,70
53,372nd, 15 hours 25 minutes 50 seconds,1,74
54,373rd, 15 hours 26 minutes 18 seconds,2,75
55,375th, 15 hours 27 minutes 19 seconds,2,77
56,376th, 15 hours 27 minutes 50 seconds,1,79
57,380th, 15 hours 29 minutes 49 seconds,1,80
58,382nd, 15 hours 30 minutes 47 seconds,1,81
59,384th, 15 hours 31 minutes 50 seconds,1,82
60,386th, 15 hours 32 minutes 54 seconds,1,83
61,388th, 15 hours 33 minutes 58 seconds,1,84
62,402nd, 15 hours 41 minutes 42 seconds,1,85
63,413th, 15 hours 47 minutes 35 seconds,1,86
64,421st, 15 hours 51 minutes 43 seconds,1,87
65,444th, 16 hours 28 minutes 31 seconds,1,88
66,447th, 16 hours 30 minutes 12 seconds,1,89
67,449th, 16 hours 31 minutes 21 seconds,1,90
68,460th, 16 hours 37 minutes 32 seconds,1,91
69,463rd, 16 hours 39 minutes 15 seconds,2,92
