,世代,時間,出力数,前世代までの合計
0,2nd, 24 minutes 4 seconds,1,0
1,8th, 1 hours 2 minutes 5 seconds,1,1
2,10th, 1 hours 2 minutes 13 seconds,1,2
3,16th, 1 hours 17 minutes 41 seconds,1,3
4,30th, 1 hours 37 minutes 45 seconds,1,4
5,36th, 1 hours 56 minutes 33 seconds,1,5
6,43rd, 2 hours 13 minutes 39 seconds,1,6
7,46th, 2 hours 14 minutes 6 seconds,1,7
8,50th, 2 hours 29 minutes 44 seconds,1,8
9,56th, 2 hours 54 minutes 41 seconds,1,9
10,57th, 2 hours 54 minutes 50 seconds,1,10
11,60th, 3 hours 19 minutes 18 seconds,1,11
12,67th, 3 hours 35 minutes 25 seconds,2,12
13,68th, 3 hours 35 minutes 35 seconds,1,14
14,69th, 3 hours 35 minutes 43 seconds,1,15
15,71st, 3 hours 36 minutes 2 seconds,1,16
16,74th, 3 hours 36 minutes 30 seconds,1,17
17,79th, 3 hours 37 minutes 19 seconds,1,18
18,83rd, 3 hours 52 minutes 58 seconds,1,19
19,87th, 3 hours 53 minutes 37 seconds,1,20
20,88th, 4 hours 8 minutes 48 seconds,1,21
21,92nd, 4 hours 9 minutes 27 seconds,2,22
22,95th, 4 hours 10 minutes 2 seconds,1,24
23,98th, 4 hours 10 minutes 37 seconds,1,25
24,103rd, 4 hours 11 minutes 38 seconds,1,26
25,106th, 4 hours 12 minutes 15 seconds,1,27
26,108th, 4 hours 12 minutes 39 seconds,1,28
27,110th, 4 hours 13 minutes 5 seconds,1,29
28,124th, 5 hours 2 minutes 17 seconds,1,30
29,125th, 5 hours 2 minutes 30 seconds,1,31
30,127th, 5 hours 2 minutes 55 seconds,1,32
31,129th, 5 hours 21 minutes 21 seconds,1,33
32,131st, 5 hours 21 minutes 46 seconds,1,34
33,132nd, 5 hours 21 minutes 58 seconds,1,35
34,134th, 5 hours 22 minutes 23 seconds,1,36
35,139th, 5 hours 23 minutes 29 seconds,1,37
36,143rd, 5 hours 24 minutes 23 seconds,1,38
37,147th, 5 hours 25 minutes 18 seconds,2,39
38,150th, 5 hours 25 minutes 59 seconds,1,41
39,151st, 5 hours 26 minutes 12 seconds,1,42
40,156th, 5 hours 27 minutes 25 seconds,1,43
41,159th, 5 hours 28 minutes 9 seconds,1,44
42,169th, 5 hours 30 minutes 35 seconds,2,45
43,170th, 5 hours 30 minutes 50 seconds,1,47
44,175th, 5 hours 47 minutes 1 seconds,1,48
45,183rd, 6 hours 12 minutes 53 seconds,1,49
46,187th, 6 hours 13 minutes 53 seconds,1,50
47,191st, 6 hours 14 minutes 53 seconds,2,51
48,192nd, 6 hours 15 minutes 9 seconds,1,53
49,194th, 6 hours 15 minutes 42 seconds,1,54
50,200th, 6 hours 32 minutes 29 seconds,2,55
51,204th, 6 hours 48 minutes 39 seconds,1,57
52,205th, 6 hours 48 minutes 56 seconds,1,58
53,208th, 6 hours 49 minutes 51 seconds,1,59
54,209th, 6 hours 50 minutes 9 seconds,1,60
55,212th, 6 hours 51 minutes 0 seconds,1,61
56,213th, 6 hours 51 minutes 17 seconds,1,62
57,214th, 6 hours 51 minutes 34 seconds,1,63
58,224th, 7 hours 12 minutes 31 seconds,2,64
59,236th, 7 hours 46 minutes 13 seconds,1,66
60,237th, 7 hours 46 minutes 34 seconds,1,67
61,240th, 7 hours 47 minutes 35 seconds,1,68
62,243rd, 7 hours 48 minutes 35 seconds,1,69
63,245th, 7 hours 49 minutes 12 seconds,1,70
64,254th, 8 hours 7 minutes 10 seconds,1,71
65,255th, 8 hours 7 minutes 31 seconds,1,72
66,259th, 8 hours 23 minutes 56 seconds,1,73
67,265th, 9 hours 5 minutes 4 seconds,1,74
68,266th, 9 hours 5 minutes 26 seconds,1,75
69,267th, 9 hours 5 minutes 49 seconds,1,76
70,269th, 9 hours 6 minutes 32 seconds,2,77
71,270th, 9 hours 6 minutes 53 seconds,2,79
72,271st, 9 hours 7 minutes 14 seconds,2,81
73,272nd, 9 hours 7 minutes 36 seconds,2,83
74,273rd, 9 hours 7 minutes 56 seconds,1,85
75,274th, 9 hours 8 minutes 17 seconds,2,86
76,280th, 9 hours 10 minutes 17 seconds,1,88
77,281st, 9 hours 10 minutes 38 seconds,1,89
78,285th, 9 hours 12 minutes 3 seconds,1,90
79,289th, 9 hours 13 minutes 29 seconds,1,91
80,298th, 9 hours 16 minutes 41 seconds,2,92
81,304th, 9 hours 33 minutes 51 seconds,1,94
82,307th, 9 hours 34 minutes 57 seconds,1,95
83,310th, 9 hours 36 minutes 0 seconds,1,96
84,314th, 9 hours 37 minutes 32 seconds,1,97
85,317th, 9 hours 38 minutes 40 seconds,1,98
86,322nd, 9 hours 40 minutes 15 seconds,1,99
