,世代,時間,出力数,前世代までの合計
0,1st, 2 seconds,1,0
1,7th, 1 hours 57 minutes 18 seconds,1,1
2,10th, 1 hours 57 minutes 28 seconds,1,2
3,13th, 2 hours 6 minutes 35 seconds,1,3
4,14th, 2 hours 15 minutes 37 seconds,2,4
5,25th, 2 hours 43 minutes 10 seconds,1,6
6,35th, 2 hours 43 minutes 52 seconds,1,7
7,42nd, 2 hours 44 minutes 26 seconds,1,8
8,43rd, 2 hours 44 minutes 32 seconds,1,9
9,44th, 2 hours 44 minutes 39 seconds,1,10
10,62nd, 3 hours 10 minutes 59 seconds,1,11
11,73rd, 3 hours 36 minutes 32 seconds,1,12
12,74th, 3 hours 36 minutes 42 seconds,1,13
13,75th, 3 hours 36 minutes 51 seconds,1,14
14,82nd, 3 hours 37 minutes 48 seconds,1,15
15,83rd, 3 hours 37 minutes 57 seconds,1,16
16,86th, 3 hours 38 minutes 23 seconds,2,17
17,87th, 3 hours 38 minutes 31 seconds,1,19
18,89th, 3 hours 38 minutes 45 seconds,1,20
19,93rd, 3 hours 39 minutes 18 seconds,1,21
20,95th, 3 hours 39 minutes 38 seconds,3,22
21,101st, 3 hours 40 minutes 33 seconds,2,25
22,110th, 4 hours 12 minutes 8 seconds,1,27
23,115th, 4 hours 13 minutes 2 seconds,1,28
24,116th, 4 hours 13 minutes 12 seconds,1,29
25,117th, 4 hours 13 minutes 24 seconds,1,30
26,120th, 4 hours 13 minutes 58 seconds,1,31
27,123rd, 4 hours 29 minutes 29 seconds,1,32
28,124th, 4 hours 29 minutes 39 seconds,1,33
29,128th, 4 hours 32 minutes 4 seconds,1,34
30,129th, 4 hours 32 minutes 14 seconds,1,35
31,135th, 4 hours 33 minutes 22 seconds,1,36
32,136th, 4 hours 33 minutes 33 seconds,1,37
33,137th, 4 hours 33 minutes 45 seconds,1,38
34,138th, 4 hours 33 minutes 57 seconds,2,39
35,139th, 4 hours 34 minutes 10 seconds,2,41
36,141st, 4 hours 58 minutes 37 seconds,1,43
37,152nd, 5 hours 25 minutes 13 seconds,1,44
38,154th, 5 hours 25 minutes 40 seconds,1,45
39,155th, 5 hours 25 minutes 54 seconds,1,46
40,158th, 5 hours 26 minutes 36 seconds,1,47
41,161st, 5 hours 27 minutes 23 seconds,1,48
42,167th, 5 hours 53 minutes 2 seconds,1,49
43,173rd, 5 hours 54 minutes 33 seconds,1,50
44,178th, 5 hours 55 minutes 58 seconds,2,51
45,179th, 5 hours 56 minutes 15 seconds,1,53
46,181st, 5 hours 56 minutes 49 seconds,2,54
47,184th, 6 hours 21 minutes 40 seconds,1,56
48,185th, 6 hours 21 minutes 57 seconds,2,57
49,186th, 6 hours 22 minutes 15 seconds,1,59
50,187th, 6 hours 22 minutes 29 seconds,1,60
51,190th, 6 hours 23 minutes 22 seconds,1,61
52,207th, 6 hours 43 minutes 29 seconds,1,62
53,210th, 6 hours 44 minutes 24 seconds,1,63
54,211th, 6 hours 44 minutes 41 seconds,1,64
55,222nd, 7 hours 12 minutes 7 seconds,1,65
56,237th, 7 hours 17 minutes 2 seconds,1,66
57,240th, 7 hours 18 minutes 1 seconds,2,67
58,246th, 7 hours 19 minutes 53 seconds,1,69
59,248th, 7 hours 20 minutes 32 seconds,1,70
60,249th, 7 hours 20 minutes 52 seconds,1,71
61,251st, 7 hours 21 minutes 32 seconds,1,72
62,257th, 7 hours 23 minutes 25 seconds,2,73
63,269th, 7 hours 27 minutes 21 seconds,1,75
64,273rd, 7 hours 28 minutes 39 seconds,1,76
65,276th, 7 hours 29 minutes 47 seconds,1,77
66,285th, 7 hours 33 minutes 17 seconds,1,78
67,288th, 7 hours 34 minutes 25 seconds,1,79
68,290th, 7 hours 35 minutes 14 seconds,1,80
69,291st, 7 hours 35 minutes 39 seconds,2,81
70,293rd, 7 hours 36 minutes 27 seconds,1,83
71,294th, 7 hours 36 minutes 52 seconds,1,84
72,295th, 7 hours 37 minutes 15 seconds,1,85
73,296th, 7 hours 37 minutes 37 seconds,1,86
74,297th, 7 hours 38 minutes 0 seconds,1,87
75,298th, 7 hours 38 minutes 22 seconds,1,88
76,301st, 7 hours 39 minutes 34 seconds,2,89
77,306th, 7 hours 41 minutes 40 seconds,1,91
78,310th, 7 hours 43 minutes 17 seconds,1,92
79,315th, 7 hours 45 minutes 15 seconds,1,93
80,316th, 7 hours 45 minutes 40 seconds,2,94
81,317th, 7 hours 46 minutes 2 seconds,1,96
82,320th, 7 hours 47 minutes 16 seconds,1,97
83,321st, 7 hours 47 minutes 24 seconds,2,98
