,世代,時間,出力数,前世代までの合計
0,14th, 1 hours 6 minutes 54 seconds,1,0
1,16th, 1 hours 30 minutes 58 seconds,1,1
2,24th, 1 hours 31 minutes 45 seconds,1,2
3,27th, 2 hours 20 minutes 3 seconds,1,3
4,34th, 5 hours 8 minutes 52 seconds,1,4
5,39th, 6 hours 26 seconds,1,5
6,54th, 6 hours 59 minutes 31 seconds,1,6
7,61st, 7 hours 12 minutes 39 seconds,1,7
8,62nd, 7 hours 12 minutes 48 seconds,1,8
9,77th, 8 hours 57 minutes 12 seconds,2,9
10,100th, 11 hours 1 minutes 11 seconds,1,11
11,101st, 11 hours 1 minutes 25 seconds,1,12
12,103rd, 11 hours 31 minutes 51 seconds,1,13
13,108th, 11 hours 32 minutes 58 seconds,1,14
14,109th, 11 hours 42 minutes 7 seconds,1,15
15,117th, 11 hours 43 minutes 51 seconds,1,16
16,118th, 11 hours 44 minutes 4 seconds,1,17
17,119th, 11 hours 44 minutes 17 seconds,1,18
18,124th, 11 hours 45 minutes 24 seconds,1,19
19,130th, 12 hours 10 minutes 44 seconds,1,20
20,132nd, 12 hours 11 minutes 13 seconds,1,21
21,135th, 12 hours 11 minutes 56 seconds,1,22
22,137th, 12 hours 12 minutes 27 seconds,2,23
23,142nd, 12 hours 13 minutes 43 seconds,1,25
24,151st, 12 hours 30 minutes 53 seconds,1,26
25,153rd, 12 hours 46 minutes 23 seconds,1,27
26,155th, 12 hours 46 minutes 55 seconds,1,28
27,162nd, 12 hours 48 minutes 49 seconds,1,29
28,165th, 12 hours 49 minutes 41 seconds,1,30
29,170th, 12 hours 51 minutes 6 seconds,1,31
30,175th, 13 hours 4 minutes 31 seconds,1,32
31,176th, 13 hours 4 minutes 47 seconds,1,33
32,178th, 13 hours 5 minutes 21 seconds,1,34
33,186th, 13 hours 19 minutes 32 seconds,2,35
34,187th, 13 hours 19 minutes 49 seconds,1,37
35,193rd, 13 hours 21 minutes 36 seconds,1,38
36,196th, 13 hours 22 minutes 30 seconds,2,39
37,201st, 14 hours 12 minutes 1 seconds,1,41
38,207th, 14 hours 13 minutes 53 seconds,1,42
39,209th, 14 hours 14 minutes 31 seconds,1,43
40,213th, 14 hours 16 minutes 53 seconds,1,44
41,215th, 14 hours 17 minutes 31 seconds,1,45
42,220th, 14 hours 19 minutes 10 seconds,1,46
43,224th, 14 hours 20 minutes 29 seconds,1,47
44,231st, 14 hours 52 minutes 51 seconds,1,48
45,234th, 14 hours 53 minutes 53 seconds,1,49
46,236th, 15 hours 6 minutes 36 seconds,1,50
47,237th, 15 hours 6 minutes 57 seconds,1,51
48,238th, 15 hours 7 minutes 18 seconds,2,52
49,241st, 15 hours 8 minutes 23 seconds,1,54
50,242nd, 15 hours 8 minutes 43 seconds,1,55
51,247th, 15 hours 10 minutes 28 seconds,1,56
52,252nd, 15 hours 12 minutes 17 seconds,1,57
53,256th, 15 hours 13 minutes 44 seconds,1,58
54,269th, 17 hours 14 minutes 53 seconds,1,59
55,274th, 17 hours 16 minutes 47 seconds,1,60
56,277th, 17 hours 17 minutes 55 seconds,1,61
57,279th, 17 hours 18 minutes 41 seconds,1,62
58,280th, 17 hours 19 minutes 3 seconds,1,63
59,281st, 17 hours 19 minutes 27 seconds,1,64
60,282nd, 17 hours 19 minutes 50 seconds,1,65
61,285th, 17 hours 21 minutes 2 seconds,1,66
62,286th, 17 hours 21 minutes 25 seconds,1,67
63,287th, 17 hours 21 minutes 49 seconds,1,68
64,289th, 17 hours 22 minutes 37 seconds,1,69
65,296th, 18 hours 4 minutes 11 seconds,1,70
66,303rd, 18 hours 6 minutes 55 seconds,1,71
67,319th, 18 hours 49 minutes 20 seconds,1,72
68,322nd, 19 hours 23 minutes 26 seconds,1,73
69,323rd, 19 hours 47 minutes 50 seconds,1,74
70,324th, 20 hours 12 minutes 15 seconds,2,75
71,325th, 20 hours 12 minutes 40 seconds,2,77
72,326th, 20 hours 13 minutes 5 seconds,3,79
73,343rd, 21 hours 23 minutes 22 seconds,2,82
74,349th, 21 hours 26 minutes 1 seconds,1,84
75,350th, 21 hours 26 minutes 27 seconds,1,85
76,355th, 21 hours 28 minutes 40 seconds,1,86
77,361st, 21 hours 40 minutes 22 seconds,1,87
78,363rd, 21 hours 41 minutes 16 seconds,2,88
79,370th, 21 hours 44 minutes 30 seconds,1,90
80,377th, 21 hours 47 minutes 43 seconds,1,91
81,384th, 22 hours 2 minutes 59 seconds,1,92
82,385th, 22 hours 3 minutes 26 seconds,1,93
83,397th, 22 hours 10 minutes 17 seconds,1,94
84,405th, 22 hours 15 minutes 20 seconds,1,95
85,409th, 22 hours 17 minutes 22 seconds,3,96
86,410th, 22 hours 17 minutes 23 seconds,1,99
