,0,1
0,1,1
1,2,2
2,2,3
3,2,4
4,902,6
5,1106,7
6,1267,8
7,1809,10
8,2540,11
9,2542,15
10,2542,19
11,2555,22
12,2555,25
13,3609,26
14,4014,27
15,5458,28
16,5505,29
17,6493,30
18,7595,31
19,7669,32
20,7944,33
21,8137,35
22,9832,36
23,9872,37
24,11459,38
25,12992,39
26,13068,40
27,13077,41
28,13103,43
29,13103,45
30,13111,46
31,13178,49
32,13178,52
33,13178,55
34,13233,57
35,15128,58
36,15204,59
37,15238,60
38,16179,61
39,16425,62
40,16437,64
41,19513,65
42,19540,66
43,19596,67
44,20527,68
45,21182,69
46,21273,70
47,21358,72
48,21375,73
49,21409,75
50,22900,76
51,22917,78
52,22949,79
53,23002,80
54,24264,81
55,24281,82
56,26222,83
57,26281,85
58,26432,86
59,26452,87
60,26605,89
61,26841,90
62,26987,91
63,27197,92
64,27265,93
65,27940,95
66,28044,97
67,29711,98
68,31327,99
