,世代,時間,出力数,前世代までの合計
0,6th, 1 hours 9 seconds,1,0
1,8th, 1 hours 13 seconds,1,1
2,10th, 1 hours 15 minutes 17 seconds,1,2
3,16th, 1 hours 30 minutes 34 seconds,1,3
4,17th, 1 hours 30 minutes 38 seconds,1,4
5,25th, 1 hours 31 minutes 15 seconds,1,5
6,28th, 1 hours 40 minutes 32 seconds,1,6
7,32nd, 1 hours 58 minutes 56 seconds,1,7
8,37th, 2 hours 1 minutes 13 seconds,1,8
9,46th, 2 hours 2 minutes 16 seconds,2,9
10,47th, 2 hours 2 minutes 24 seconds,1,11
11,50th, 2 hours 2 minutes 52 seconds,1,12
12,51st, 2 hours 3 minutes 0 seconds,1,13
13,55th, 2 hours 27 minutes 35 seconds,1,14
14,61st, 2 hours 52 minutes 25 seconds,1,15
15,69th, 2 hours 53 minutes 40 seconds,2,16
16,72nd, 2 hours 54 minutes 10 seconds,1,18
17,73rd, 2 hours 54 minutes 21 seconds,1,19
18,74th, 2 hours 54 minutes 32 seconds,1,20
19,75th, 2 hours 54 minutes 43 seconds,1,21
20,81st, 2 hours 55 minutes 48 seconds,3,22
21,83rd, 2 hours 56 minutes 9 seconds,1,25
22,99th, 3 hours 38 minutes 3 seconds,1,26
23,104th, 3 hours 38 minutes 55 seconds,1,27
24,109th, 3 hours 39 minutes 55 seconds,1,28
25,111th, 3 hours 40 minutes 19 seconds,1,29
26,112th, 3 hours 40 minutes 31 seconds,1,30
27,113th, 3 hours 40 minutes 43 seconds,1,31
28,115th, 3 hours 59 minutes 8 seconds,1,32
29,118th, 4 hours 14 minutes 43 seconds,1,33
30,122nd, 4 hours 30 minutes 27 seconds,1,34
31,124th, 4 hours 51 minutes 50 seconds,2,35
32,126th, 4 hours 52 minutes 13 seconds,1,37
33,128th, 4 hours 52 minutes 40 seconds,2,38
34,134th, 5 hours 17 minutes 59 seconds,1,40
35,135th, 5 hours 18 minutes 13 seconds,1,41
36,136th, 5 hours 18 minutes 27 seconds,1,42
37,145th, 5 hours 21 minutes 45 seconds,1,43
38,146th, 5 hours 21 minutes 59 seconds,2,44
39,147th, 5 hours 22 minutes 15 seconds,2,46
40,152nd, 5 hours 45 minutes 40 seconds,2,48
41,158th, 5 hours 59 minutes 3 seconds,1,50
42,161st, 6 hours 23 minutes 46 seconds,1,51
43,163rd, 6 hours 48 minutes 15 seconds,1,52
44,165th, 7 hours 12 minutes 45 seconds,1,53
45,168th, 7 hours 37 minutes 30 seconds,1,54
46,169th, 7 hours 52 minutes 44 seconds,1,55
47,170th, 7 hours 52 minutes 59 seconds,1,56
48,173rd, 7 hours 53 minutes 45 seconds,1,57
49,192nd, 8 hours 23 minutes 44 seconds,1,58
50,199th, 8 hours 26 minutes 47 seconds,1,59
51,200th, 8 hours 27 minutes 3 seconds,1,60
52,209th, 8 hours 29 minutes 22 seconds,1,61
53,222nd, 8 hours 32 minutes 47 seconds,1,62
54,224th, 8 hours 33 minutes 18 seconds,1,63
55,227th, 8 hours 34 minutes 2 seconds,1,64
56,228th, 8 hours 34 minutes 15 seconds,1,65
57,240th, 8 hours 52 minutes 22 seconds,2,66
58,243rd, 8 hours 53 minutes 12 seconds,1,68
59,245th, 8 hours 53 minutes 43 seconds,1,69
60,250th, 8 hours 55 minutes 6 seconds,1,70
61,252nd, 8 hours 55 minutes 39 seconds,2,71
62,257th, 8 hours 57 minutes 4 seconds,1,73
63,261st, 8 hours 58 minutes 18 seconds,1,74
64,264th, 8 hours 59 minutes 16 seconds,1,75
65,265th, 8 hours 59 minutes 34 seconds,1,76
66,276th, 9 hours 3 minutes 15 seconds,1,77
67,284th, 9 hours 6 minutes 1 seconds,1,78
68,287th, 9 hours 7 minutes 4 seconds,1,79
69,289th, 9 hours 7 minutes 44 seconds,1,80
70,291st, 9 hours 8 minutes 25 seconds,2,81
71,294th, 9 hours 9 minutes 23 seconds,1,83
72,318th, 9 hours 42 minutes 1 seconds,1,84
73,326th, 9 hours 45 minutes 13 seconds,1,85
74,345th, 10 hours 16 minutes 30 seconds,1,86
75,347th, 10 hours 17 minutes 18 seconds,1,87
76,351st, 10 hours 18 minutes 54 seconds,1,88
77,355th, 10 hours 20 minutes 35 seconds,1,89
78,358th, 10 hours 21 minutes 50 seconds,1,90
79,360th, 10 hours 22 minutes 38 seconds,2,91
80,380th, 11 hours 1 minutes 32 seconds,1,93
81,381st, 11 hours 1 minutes 59 seconds,1,94
82,386th, 11 hours 4 minutes 15 seconds,1,95
83,389th, 11 hours 5 minutes 32 seconds,1,96
84,401st, 11 hours 25 minutes 59 seconds,1,97
85,403rd, 11 hours 26 minutes 58 seconds,1,98
86,408th, 11 hours 53 minutes 9 seconds,1,99
