,世代,時間,出力数,前世代までの合計
0,1st, 2 seconds,1,0
1,9th, 2 minutes 14 seconds,1,1
2,55th, 1 hours 10 minutes 38 seconds,1,2
3,67th, 1 hours 36 minutes 43 seconds,1,3
4,76th, 1 hours 38 minutes 12 seconds,1,4
5,86th, 1 hours 39 minutes 48 seconds,1,5
6,87th, 1 hours 39 minutes 57 seconds,1,6
7,88th, 1 hours 40 minutes 7 seconds,2,7
8,94th, 1 hours 41 minutes 13 seconds,1,9
9,99th, 1 hours 57 minutes 11 seconds,2,10
10,133rd, 2 hours 4 minutes 12 seconds,1,12
11,156th, 3 hours 17 minutes 55 seconds,1,13
12,158th, 3 hours 18 minutes 20 seconds,1,14
13,159th, 3 hours 18 minutes 32 seconds,1,15
14,162nd, 3 hours 19 minutes 15 seconds,2,16
15,204th, 3 hours 32 minutes 5 seconds,1,18
16,221st, 3 hours 52 minutes 22 seconds,1,19
17,222nd, 3 hours 52 minutes 38 seconds,1,20
18,232nd, 3 hours 55 minutes 44 seconds,1,21
19,255th, 4 hours 3 minutes 41 seconds,1,22
20,258th, 4 hours 4 minutes 50 seconds,1,23
21,263rd, 4 hours 6 minutes 38 seconds,1,24
22,287th, 4 hours 41 minutes 39 seconds,1,25
23,290th, 4 hours 54 minutes 55 seconds,1,26
24,291st, 4 hours 55 minutes 22 seconds,1,27
25,292nd, 4 hours 55 minutes 47 seconds,1,28
26,293rd, 4 hours 56 minutes 14 seconds,2,29
27,296th, 4 hours 57 minutes 32 seconds,1,31
28,297th, 4 hours 57 minutes 54 seconds,1,32
29,298th, 4 hours 58 minutes 17 seconds,1,33
30,322nd, 5 hours 8 minutes 40 seconds,1,34
31,370th, 5 hours 31 minutes 26 seconds,1,35
32,387th, 5 hours 40 minutes 46 seconds,1,36
33,390th, 5 hours 51 minutes 15 seconds,2,37
34,391st, 6 hours 42 seconds,1,39
35,393rd, 6 hours 1 minutes 47 seconds,1,40
36,395th, 6 hours 2 minutes 54 seconds,2,41
37,401st, 6 hours 6 minutes 17 seconds,1,43
38,402nd, 6 hours 6 minutes 52 seconds,2,44
39,403rd, 6 hours 7 minutes 26 seconds,3,46
40,405th, 6 hours 8 minutes 34 seconds,1,49
41,406th, 6 hours 9 minutes 9 seconds,2,50
42,407th, 6 hours 9 minutes 43 seconds,1,52
43,409th, 6 hours 10 minutes 52 seconds,1,53
