,世代,時間,出力数,前世代までの合計
0,1st, 2 seconds,1,0
1,5th, 2 hours 7 minutes 49 seconds,1,1
2,15th, 2 hours 47 minutes 28 seconds,1,2
3,19th, 3 hours 2 minutes 46 seconds,1,3
4,20th, 3 hours 53 minutes 45 seconds,2,4
5,21st, 4 hours 38 minutes 50 seconds,1,6
6,24th, 4 hours 39 minutes 10 seconds,1,7
7,25th, 4 hours 39 minutes 17 seconds,1,8
8,26th, 4 hours 39 minutes 24 seconds,1,9
9,28th, 4 hours 40 minutes 53 seconds,1,10
10,38th, 5 hours 33 minutes 17 seconds,1,11
11,44th, 5 hours 43 minutes 9 seconds,1,12
12,76th, 6 hours 15 minutes 7 seconds,1,13
13,77th, 6 hours 15 minutes 18 seconds,1,14
14,78th, 6 hours 15 minutes 31 seconds,1,15
15,88th, 6 hours 56 minutes 35 seconds,1,16
16,90th, 6 hours 58 minutes 46 seconds,1,17
17,96th, 7 hours 7 seconds,1,18
18,106th, 7 hours 59 minutes 30 seconds,1,19
19,107th, 8 hours 4 seconds,1,20
20,108th, 8 hours 35 seconds,1,21
21,146th, 8 hours 51 minutes 13 seconds,1,22
22,149th, 8 hours 54 minutes 37 seconds,1,23
23,169th, 10 hours 5 minutes 37 seconds,1,24
24,181st, 10 hours 30 minutes 40 seconds,1,25
25,186th, 10 hours 47 minutes 53 seconds,1,26
26,212th, 11 hours 11 minutes 1 seconds,1,27
27,240th, 11 hours 47 minutes 39 seconds,1,28
28,253rd, 12 hours 16 minutes 44 seconds,1,29
29,313th, 14 hours 43 minutes 23 seconds,1,30
30,322nd, 14 hours 46 minutes 55 seconds,1,31
31,327th, 14 hours 58 minutes 3 seconds,1,32
32,340th, 18 hours 2 minutes 44 seconds,2,33
33,342nd, 18 hours 30 minutes 25 seconds,2,35
34,343rd, 19 hours 6 minutes 41 seconds,3,37
35,344th, 19 hours 24 minutes 57 seconds,2,40
36,345th, 19 hours 43 minutes 14 seconds,1,42
37,351st, 22 hours 18 seconds,1,43
38,352nd, 22 hours 9 minutes 43 seconds,1,44
39,359th, 22 hours 48 minutes 43 seconds,1,45
40,361st, 22 hours 49 minutes 36 seconds,1,46
41,375th, 23 hours 56 minutes 14 seconds,1,47
42,377th, 23 hours 57 minutes 19 seconds,1,48
43,378th, 23 hours 57 minutes 50 seconds,1,49
