,世代,時間,出力数,前世代までの合計
0,1st, 15 seconds,2,0
1,2nd, 26 seconds,3,2
2,3rd, 42 seconds,6,5
3,10th, 3 minutes 29 seconds,1,11
4,13th, 4 minutes 57 seconds,1,12
5,15th, 6 minutes 0 seconds,2,13
6,16th, 6 minutes 32 seconds,2,15
7,17th, 10 minutes 2 seconds,3,17
8,18th, 16 minutes 33 seconds,3,20
9,22nd, 55 minutes 13 seconds,4,23
10,23rd, 58 minutes 59 seconds,1,27
11,24th, 59 minutes 41 seconds,5,28
12,25th, 1 hours 21 seconds,2,33
13,26th, 1 hours 1 minutes 4 seconds,2,35
14,27th, 1 hours 1 minutes 42 seconds,1,37
15,28th, 1 hours 2 minutes 22 seconds,4,38
16,30th, 1 hours 3 minutes 50 seconds,3,42
17,31st, 1 hours 4 minutes 28 seconds,1,45
18,33rd, 1 hours 8 minutes 40 seconds,2,46
19,34th, 1 hours 9 minutes 13 seconds,1,48
20,37th, 1 hours 17 minutes 2 seconds,1,49
21,38th, 1 hours 17 minutes 36 seconds,1,50
22,39th, 1 hours 18 minutes 15 seconds,1,51
23,40th, 1 hours 18 minutes 56 seconds,3,52
24,42nd, 1 hours 23 minutes 2 seconds,2,55
25,43rd, 1 hours 23 minutes 35 seconds,1,57
26,44th, 1 hours 24 minutes 7 seconds,3,58
27,45th, 1 hours 30 minutes 42 seconds,5,61
28,48th, 1 hours 35 minutes 30 seconds,4,66
29,58th, 1 hours 53 minutes 21 seconds,4,70
30,59th, 1 hours 59 minutes 57 seconds,4,74
31,60th, 2 hours 33 seconds,2,78
32,62nd, 2 hours 1 minutes 44 seconds,3,80
33,68th, 2 hours 5 minutes 34 seconds,3,83
34,71st, 2 hours 7 minutes 26 seconds,3,86
35,93rd, 2 hours 21 minutes 50 seconds,2,89
36,95th, 2 hours 26 minutes 17 seconds,1,91
37,96th, 2 hours 27 minutes 3 seconds,4,92
38,102nd, 2 hours 31 minutes 47 seconds,2,96
39,103rd, 2 hours 31 minutes 54 seconds,2,98
