,世代,時間,出力数,前世代までの合計
0,2nd, 46 seconds,2,0
1,3rd, 2 minutes 2 seconds,2,2
2,4th, 3 minutes 19 seconds,5,4
3,5th, 5 minutes 1 seconds,7,9
4,6th, 6 minutes 31 seconds,7,16
5,7th, 8 minutes 17 seconds,7,23
6,8th, 10 minutes 8 seconds,6,30
7,9th, 12 minutes 0 seconds,6,36
8,10th, 13 minutes 48 seconds,4,42
9,11th, 15 minutes 48 seconds,3,46
10,12th, 18 minutes 34 seconds,5,49
11,13th, 20 minutes 43 seconds,3,54
12,14th, 22 minutes 58 seconds,4,57
13,15th, 25 minutes 34 seconds,1,61
14,16th, 27 minutes 38 seconds,3,62
15,17th, 29 minutes 43 seconds,2,65
16,18th, 32 minutes 11 seconds,1,67
17,19th, 34 minutes 41 seconds,2,68
18,20th, 37 minutes 25 seconds,3,70
19,21st, 40 minutes 25 seconds,2,73
20,22nd, 42 minutes 34 seconds,1,75
21,23rd, 45 minutes 4 seconds,1,76
22,24th, 47 minutes 51 seconds,5,77
23,25th, 51 minutes 10 seconds,8,82
24,26th, 53 minutes 34 seconds,1,90
25,27th, 56 minutes 11 seconds,5,91
26,28th, 59 minutes 11 seconds,3,96
27,29th, 59 minutes 41 seconds,1,99
