,世代,時間,出力数,前世代までの合計
0,2nd, 1 minutes 9 seconds,2,0
1,3rd, 2 minutes 40 seconds,4,2
2,4th, 3 minutes 56 seconds,1,6
3,5th, 5 minutes 24 seconds,4,7
4,6th, 7 minutes 14 seconds,4,11
5,7th, 8 minutes 50 seconds,5,15
6,8th, 11 minutes 10 seconds,5,20
7,9th, 13 minutes 32 seconds,6,25
8,10th, 15 minutes 38 seconds,4,31
9,11th, 17 minutes 32 seconds,1,35
10,12th, 19 minutes 50 seconds,5,36
11,13th, 22 minutes 51 seconds,5,41
12,14th, 25 minutes 15 seconds,6,46
13,15th, 27 minutes 20 seconds,11,52
14,16th, 29 minutes 14 seconds,5,63
15,17th, 31 minutes 12 seconds,3,68
16,18th, 33 minutes 23 seconds,3,71
17,19th, 35 minutes 22 seconds,2,74
18,20th, 37 minutes 8 seconds,6,76
19,21st, 39 minutes 10 seconds,1,82
20,23rd, 43 minutes 11 seconds,1,83
21,24th, 45 minutes 8 seconds,3,84
22,26th, 49 minutes 9 seconds,2,87
23,27th, 51 minutes 0 seconds,1,89
24,28th, 52 minutes 51 seconds,2,90
25,29th, 54 minutes 54 seconds,1,92
26,30th, 56 minutes 32 seconds,1,93
27,31st, 58 minutes 33 seconds,2,94
28,32nd, 59 minutes 15 seconds,4,96
