,世代,時間,出力数,前世代までの合計
0,4th, 3 minutes 43 seconds,4,0
1,5th, 5 minutes 24 seconds,1,4
2,6th, 7 minutes 24 seconds,5,5
3,7th, 9 minutes 10 seconds,4,10
4,8th, 10 minutes 15 seconds,1,14
5,9th, 11 minutes 25 seconds,6,15
6,10th, 12 minutes 30 seconds,3,21
7,11th, 13 minutes 38 seconds,6,24
8,12th, 14 minutes 44 seconds,3,30
9,13th, 15 minutes 55 seconds,4,33
10,14th, 17 minutes 3 seconds,4,37
11,16th, 19 minutes 40 seconds,2,41
12,17th, 20 minutes 46 seconds,3,43
13,18th, 21 minutes 57 seconds,3,46
14,19th, 23 minutes 1 seconds,2,49
15,20th, 24 minutes 10 seconds,6,51
16,21st, 25 minutes 18 seconds,4,57
17,22nd, 26 minutes 43 seconds,3,61
18,24th, 29 minutes 5 seconds,1,64
19,25th, 30 minutes 15 seconds,3,65
20,26th, 31 minutes 27 seconds,2,68
21,27th, 32 minutes 50 seconds,4,70
22,28th, 34 minutes 4 seconds,3,74
23,29th, 35 minutes 26 seconds,2,77
24,30th, 36 minutes 44 seconds,2,79
25,31st, 38 minutes 10 seconds,3,81
26,32nd, 39 minutes 37 seconds,2,84
27,33rd, 40 minutes 58 seconds,2,86
28,34th, 42 minutes 17 seconds,2,88
29,35th, 43 minutes 43 seconds,5,90
30,37th, 46 minutes 22 seconds,3,95
31,38th, 46 minutes 38 seconds,2,98
