,世代,時間,出力数,前世代までの合計
0,3rd, 1 minutes 18 seconds,4,0
1,4th, 2 minutes 8 seconds,3,4
2,5th, 2 minutes 58 seconds,6,7
3,6th, 3 minutes 51 seconds,10,13
4,7th, 4 minutes 46 seconds,5,23
5,8th, 5 minutes 50 seconds,4,28
6,9th, 6 minutes 48 seconds,7,32
7,10th, 7 minutes 48 seconds,6,39
8,11th, 8 minutes 58 seconds,4,45
9,12th, 10 minutes 12 seconds,2,49
10,13th, 11 minutes 31 seconds,6,51
11,14th, 12 minutes 49 seconds,7,57
12,15th, 13 minutes 58 seconds,2,64
13,16th, 15 minutes 17 seconds,8,66
14,17th, 16 minutes 36 seconds,2,74
15,18th, 17 minutes 54 seconds,9,76
16,19th, 19 minutes 12 seconds,5,85
17,20th, 20 minutes 35 seconds,2,90
18,21st, 21 minutes 57 seconds,3,92
19,22nd, 23 minutes 23 seconds,2,95
20,23rd, 23 minutes 51 seconds,3,97
