,世代,時間,出力数,前世代までの合計
0,6th, 34 minutes 32 seconds,2,0
1,8th, 2 hours 14 minutes 11 seconds,1,2
2,9th, 2 hours 47 minutes 33 seconds,1,3
3,10th, 3 hours 20 minutes 56 seconds,1,4
4,13th, 3 hours 55 minutes 11 seconds,2,5
5,14th, 4 hours 28 minutes 39 seconds,1,7
6,15th, 5 hours 2 minutes 7 seconds,2,8
7,19th, 7 hours 49 minutes 6 seconds,1,10
8,22nd, 9 hours 29 minutes 39 seconds,1,11
9,24th, 9 hours 30 minutes 42 seconds,1,12
10,25th, 9 hours 31 minutes 13 seconds,1,13
11,28th, 13 hours 23 minutes 48 seconds,1,14
12,37th, 17 hours 52 minutes 40 seconds,1,15
13,45th, 22 hours 21 minutes 4 seconds,2,16
