,世代,時間,出力数,前世代までの合計
0,12th, 2 hours 48 minutes 48 seconds,1,0
1,18th, 6 hours 9 minutes 33 seconds,2,1
2,27th, 10 hours 4 minutes 56 seconds,1,3
3,29th, 10 hours 38 minutes 56 seconds,1,4
4,30th, 10 hours 39 minutes 28 seconds,1,5
5,34th, 11 hours 14 minutes 33 seconds,1,6
6,40th, 13 hours 29 minutes 58 seconds,1,7
7,42nd, 15 hours 43 minutes 7 seconds,1,8
8,44th, 16 hours 17 minutes 18 seconds,1,9
9,45th, 17 hours 23 minutes 53 seconds,1,10
10,46th, 17 hours 57 minutes 26 seconds,2,11
11,52nd, 22 hours 24 minutes 44 seconds,1,13
