,世代,時間,出力数,前世代までの合計
0,4th, 15 minutes 40 seconds,1,0
1,5th, 15 minutes 50 seconds,1,1
2,7th, 16 minutes 11 seconds,1,2
3,8th, 16 minutes 23 seconds,1,3
4,9th, 16 minutes 35 seconds,1,4
5,11th, 16 minutes 58 seconds,1,5
6,13th, 17 minutes 21 seconds,1,6
7,19th, 18 minutes 38 seconds,1,7
8,21st, 19 minutes 4 seconds,1,8
9,22nd, 19 minutes 18 seconds,1,9
10,24th, 19 minutes 44 seconds,3,10
11,26th, 20 minutes 12 seconds,1,13
12,30th, 21 minutes 12 seconds,1,14
13,31st, 21 minutes 28 seconds,1,15
14,33rd, 36 minutes 58 seconds,1,16
15,36th, 52 minutes 46 seconds,1,17
16,39th, 53 minutes 34 seconds,1,18
17,41st, 54 minutes 6 seconds,1,19
18,43rd, 54 minutes 40 seconds,2,20
19,46th, 55 minutes 29 seconds,2,22
20,48th, 56 minutes 2 seconds,1,24
21,50th, 56 minutes 36 seconds,1,25
22,51st, 56 minutes 53 seconds,1,26
23,58th, 58 minutes 51 seconds,2,27
24,60th, 59 minutes 25 seconds,1,29
25,62nd, 1 hours 0 seconds,1,30
26,63rd, 1 hours 17 seconds,1,31
27,72nd, 1 hours 17 minutes 59 seconds,1,32
28,73rd, 1 hours 18 minutes 17 seconds,1,33
29,78th, 1 hours 19 minutes 48 seconds,2,34
30,79th, 1 hours 20 minutes 7 seconds,3,36
31,80th, 1 hours 20 minutes 27 seconds,2,39
32,82nd, 1 hours 21 minutes 4 seconds,2,41
33,83rd, 1 hours 21 minutes 23 seconds,1,43
34,84th, 1 hours 36 minutes 42 seconds,4,44
35,85th, 1 hours 37 minutes 2 seconds,2,48
36,86th, 1 hours 37 minutes 21 seconds,1,50
37,89th, 1 hours 38 minutes 19 seconds,1,51
38,90th, 1 hours 38 minutes 40 seconds,3,52
39,91st, 1 hours 39 minutes 1 seconds,1,55
40,95th, 1 hours 40 minutes 25 seconds,1,56
41,96th, 1 hours 40 minutes 45 seconds,1,57
42,99th, 1 hours 41 minutes 50 seconds,1,58
43,102nd, 1 hours 42 minutes 57 seconds,1,59
44,103rd, 1 hours 43 minutes 21 seconds,1,60
45,104th, 1 hours 43 minutes 42 seconds,1,61
46,105th, 1 hours 44 minutes 5 seconds,1,62
47,107th, 1 hours 44 minutes 50 seconds,1,63
48,108th, 1 hours 45 minutes 13 seconds,3,64
49,109th, 1 hours 45 minutes 35 seconds,2,67
50,110th, 1 hours 45 minutes 59 seconds,2,69
51,111th, 1 hours 46 minutes 21 seconds,2,71
52,112th, 1 hours 46 minutes 46 seconds,2,73
53,113th, 1 hours 47 minutes 8 seconds,2,75
54,114th, 1 hours 47 minutes 34 seconds,1,77
55,115th, 1 hours 47 minutes 58 seconds,1,78
56,116th, 1 hours 48 minutes 23 seconds,3,79
57,118th, 1 hours 49 minutes 13 seconds,1,82
58,119th, 1 hours 49 minutes 38 seconds,1,83
59,120th, 1 hours 50 minutes 5 seconds,2,84
60,122nd, 1 hours 50 minutes 56 seconds,1,86
61,124th, 1 hours 51 minutes 48 seconds,1,87
62,126th, 1 hours 52 minutes 40 seconds,1,88
63,132nd, 1 hours 55 minutes 12 seconds,1,89
64,138th, 1 hours 57 minutes 53 seconds,2,90
65,141st, 1 hours 59 minutes 15 seconds,2,92
66,143rd, 2 hours 9 seconds,1,94
67,144th, 2 hours 37 seconds,1,95
68,146th, 2 hours 1 minutes 33 seconds,1,96
69,148th, 2 hours 2 minutes 28 seconds,1,97
70,165th, 2 hours 10 minutes 25 seconds,1,98
71,171st, 2 hours 13 minutes 1 seconds,1,99
