,世代,時間,出力数,前世代までの合計
0,3rd, 26 seconds,2,0
1,4th, 36 seconds,1,2
2,5th, 47 seconds,1,3
3,6th, 58 seconds,2,4
4,11th, 1 minutes 52 seconds,1,6
5,12th, 2 minutes 4 seconds,2,7
6,13th, 2 minutes 15 seconds,1,9
7,14th, 2 minutes 27 seconds,1,10
8,15th, 17 minutes 40 seconds,2,11
9,18th, 18 minutes 20 seconds,1,13
10,19th, 18 minutes 35 seconds,1,14
11,20th, 18 minutes 51 seconds,1,15
12,23rd, 49 minutes 35 seconds,3,16
13,25th, 1 hours 5 minutes 3 seconds,1,19
14,26th, 1 hours 5 minutes 18 seconds,3,20
15,27th, 1 hours 5 minutes 33 seconds,1,23
16,28th, 1 hours 5 minutes 48 seconds,1,24
17,29th, 1 hours 6 minutes 3 seconds,1,25
18,30th, 1 hours 6 minutes 17 seconds,1,26
19,33rd, 1 hours 7 minutes 2 seconds,2,27
20,34th, 1 hours 7 minutes 17 seconds,3,29
21,36th, 1 hours 7 minutes 47 seconds,1,32
22,37th, 1 hours 8 minutes 4 seconds,2,33
23,38th, 1 hours 8 minutes 19 seconds,1,35
24,39th, 1 hours 8 minutes 34 seconds,1,36
25,44th, 1 hours 15 minutes 55 seconds,3,37
26,45th, 1 hours 16 minutes 12 seconds,1,40
27,46th, 1 hours 16 minutes 29 seconds,3,41
28,49th, 1 hours 17 minutes 19 seconds,3,44
29,51st, 1 hours 17 minutes 51 seconds,2,47
30,55th, 1 hours 18 minutes 58 seconds,1,49
31,56th, 1 hours 19 minutes 16 seconds,1,50
32,57th, 1 hours 19 minutes 32 seconds,2,51
33,59th, 1 hours 20 minutes 7 seconds,1,53
34,60th, 1 hours 20 minutes 24 seconds,1,54
35,63rd, 1 hours 21 minutes 16 seconds,1,55
36,68th, 1 hours 22 minutes 42 seconds,2,56
37,79th, 1 hours 26 minutes 12 seconds,1,58
38,80th, 1 hours 26 minutes 33 seconds,2,59
39,81st, 1 hours 26 minutes 51 seconds,2,61
40,82nd, 1 hours 27 minutes 11 seconds,1,63
41,84th, 1 hours 27 minutes 51 seconds,1,64
42,86th, 1 hours 28 minutes 30 seconds,1,65
43,89th, 1 hours 29 minutes 27 seconds,1,66
44,91st, 1 hours 30 minutes 7 seconds,1,67
45,98th, 2 hours 2 minutes 28 seconds,1,68
46,99th, 2 hours 2 minutes 49 seconds,1,69
47,120th, 2 hours 10 minutes 40 seconds,1,70
48,122nd, 2 hours 11 minutes 27 seconds,1,71
49,124th, 2 hours 12 minutes 16 seconds,1,72
50,125th, 2 hours 12 minutes 40 seconds,2,73
51,127th, 2 hours 13 minutes 32 seconds,1,75
52,128th, 2 hours 13 minutes 57 seconds,1,76
53,129th, 2 hours 14 minutes 23 seconds,1,77
54,132nd, 2 hours 15 minutes 37 seconds,1,78
55,134th, 2 hours 16 minutes 28 seconds,2,79
56,135th, 2 hours 16 minutes 52 seconds,1,81
57,141st, 2 hours 34 minutes 33 seconds,1,82
58,144th, 2 hours 35 minutes 54 seconds,2,83
59,148th, 2 hours 37 minutes 43 seconds,2,85
60,151st, 2 hours 39 minutes 10 seconds,1,87
61,152nd, 2 hours 39 minutes 39 seconds,1,88
62,154th, 2 hours 40 minutes 38 seconds,1,89
63,155th, 2 hours 41 minutes 8 seconds,2,90
64,165th, 2 hours 46 minutes 12 seconds,1,92
65,166th, 2 hours 46 minutes 43 seconds,1,93
66,170th, 2 hours 48 minutes 44 seconds,1,94
67,171st, 2 hours 49 minutes 16 seconds,2,95
68,174th, 2 hours 50 minutes 49 seconds,2,97
69,177th, 2 hours 52 minutes 2 seconds,1,99
