,世代,時間,出力数,前世代までの合計
0,2nd, 28s,1,0
1,3rd, 50s,1,1
2,4th, 1m8s,2,2
3,5th, 1m26s,1,4
4,6th, 1m45s,2,5
5,7th, 2m7s,1,7
6,8th, 2m30s,2,8
7,10th, 3m16s,1,10
8,12th, 4m4s,1,11
9,13th, 4m28s,1,12
10,14th, 4m54s,3,13
11,15th, 5m20s,1,16
12,17th, 6m13s,1,17
13,18th, 6m41s,4,18
14,19th, 7m9s,1,22
15,20th, 7m38s,1,23
16,21st, 8m8s,2,24
17,22nd, 8m36s,3,26
18,23rd, 24m9s,2,29
19,24th, 24m40s,1,31
20,25th, 25m9s,1,32
21,26th, 25m39s,1,33
22,27th, 26m11s,4,34
23,28th, 26m42s,2,38
24,31st, 28m17s,1,40
25,33rd, 44m58s,1,41
26,35th, 46m32s,1,42
27,37th, 1h3m7s,3,43
28,39th, 1h4m46s,1,46
29,40th, 1h5m34s,1,47
30,41st, 1h6m22s,1,48
31,42nd, 1h7m8s,1,49
32,43rd, 1h7m54s,1,50
33,44th, 1h8m40s,1,51
34,45th, 1h9m26s,1,52
35,46th, 1h10m14s,1,53
36,47th, 1h10m58s,1,54
37,48th, 1h11m44s,2,55
38,49th, 1h12m31s,1,57
39,50th, 1h28m16s,2,58
40,51st, 1h29m1s,1,60
41,52nd, 1h29m46s,2,61
42,56th, 1h53m49s,2,63
43,57th, 1h54m36s,1,65
44,58th, 1h55m24s,1,66
45,60th, 1h56m59s,2,67
46,62nd, 1h58m35s,1,69
47,63rd, 1h59m24s,2,70
48,64th, 2h13s,2,72
49,71st, 2h6m0s,2,74
50,75th, 2h9m26s,3,76
51,76th, 2h10m16s,1,79
52,77th, 2h11m7s,1,80
53,81st, 2h14m35s,1,81
54,83rd, 2h16m18s,2,82
55,84th, 2h17m12s,1,84
56,86th, 2h19m1s,1,85
57,87th, 2h34m54s,2,86
58,90th, 3h7m41s,2,88
59,91st, 3h8m36s,1,90
60,92nd, 3h24m49s,2,91
61,93rd, 3h25m55s,1,93
62,94th, 3h27m1s,2,94
63,95th, 3h28m5s,1,96
64,97th, 3h30m16s,2,97
65,99th, 3h31m36s,1,99
