,世代,時間,出力数,前世代までの合計
0,2nd, 11 seconds,1,0
1,10th, 59 seconds,1,1
2,11th, 1 minutes 5 seconds,1,2
3,13th, 1 minutes 18 seconds,1,3
4,15th, 1 minutes 32 seconds,2,4
5,16th, 1 minutes 39 seconds,1,6
6,17th, 1 minutes 45 seconds,1,7
7,20th, 2 minutes 8 seconds,1,8
8,22nd, 2 minutes 23 seconds,1,9
9,24th, 2 minutes 37 seconds,1,10
10,25th, 2 minutes 43 seconds,1,11
11,26th, 2 minutes 51 seconds,1,12
12,51st, 5 minutes 58 seconds,1,13
13,64th, 7 minutes 48 seconds,1,14
14,67th, 8 minutes 16 seconds,1,15
15,70th, 23 minutes 45 seconds,1,16
16,76th, 24 minutes 42 seconds,1,17
17,80th, 25 minutes 23 seconds,1,18
18,85th, 26 minutes 17 seconds,1,19
19,86th, 26 minutes 28 seconds,1,20
20,87th, 26 minutes 40 seconds,1,21
21,88th, 26 minutes 51 seconds,1,22
22,92nd, 27 minutes 38 seconds,1,23
23,97th, 28 minutes 35 seconds,1,24
24,98th, 28 minutes 46 seconds,1,25
25,99th, 28 minutes 57 seconds,1,26
26,101st, 29 minutes 21 seconds,1,27
27,104th, 44 minutes 59 seconds,1,28
28,109th, 45 minutes 59 seconds,1,29
29,110th, 46 minutes 11 seconds,1,30
30,112th, 46 minutes 36 seconds,1,31
31,119th, 48 minutes 8 seconds,1,32
32,120th, 48 minutes 21 seconds,1,33
33,123rd, 1 hours 4 minutes 2 seconds,2,34
34,126th, 1 hours 4 minutes 43 seconds,1,36
35,143rd, 1 hours 8 minutes 31 seconds,1,37
36,144th, 1 hours 8 minutes 45 seconds,1,38
37,145th, 1 hours 8 minutes 59 seconds,1,39
38,150th, 1 hours 10 minutes 7 seconds,2,40
39,152nd, 1 hours 10 minutes 35 seconds,1,42
40,154th, 1 hours 11 minutes 4 seconds,2,43
41,159th, 1 hours 12 minutes 16 seconds,1,45
42,161st, 1 hours 12 minutes 45 seconds,1,46
43,163rd, 1 hours 13 minutes 15 seconds,1,47
44,164th, 1 hours 13 minutes 31 seconds,1,48
45,168th, 1 hours 14 minutes 32 seconds,1,49
46,169th, 1 hours 14 minutes 47 seconds,1,50
47,170th, 1 hours 15 minutes 2 seconds,1,51
48,173rd, 1 hours 15 minutes 46 seconds,2,52
49,177th, 1 hours 16 minutes 44 seconds,1,54
50,179th, 1 hours 17 minutes 15 seconds,1,55
51,188th, 1 hours 19 minutes 30 seconds,1,56
52,189th, 1 hours 19 minutes 45 seconds,1,57
53,193rd, 1 hours 20 minutes 47 seconds,1,58
54,195th, 1 hours 21 minutes 16 seconds,1,59
55,223rd, 1 hours 29 minutes 13 seconds,1,60
56,225th, 1 hours 29 minutes 50 seconds,1,61
57,226th, 1 hours 30 minutes 9 seconds,1,62
58,228th, 1 hours 30 minutes 46 seconds,1,63
59,231st, 1 hours 31 minutes 42 seconds,1,64
60,241st, 1 hours 34 minutes 53 seconds,1,65
61,243rd, 1 hours 35 minutes 33 seconds,1,66
62,246th, 1 hours 36 minutes 33 seconds,2,67
63,247th, 1 hours 36 minutes 54 seconds,2,69
64,251st, 1 hours 38 minutes 17 seconds,1,71
65,254th, 1 hours 39 minutes 18 seconds,1,72
66,255th, 1 hours 39 minutes 38 seconds,1,73
67,257th, 1 hours 40 minutes 20 seconds,2,74
68,259th, 1 hours 41 minutes 2 seconds,2,76
69,260th, 1 hours 41 minutes 22 seconds,1,78
70,263rd, 1 hours 42 minutes 25 seconds,1,79
71,275th, 1 hours 46 minutes 42 seconds,1,80
72,279th, 1 hours 48 minutes 10 seconds,1,81
73,282nd, 1 hours 49 minutes 17 seconds,1,82
74,291st, 1 hours 52 minutes 32 seconds,2,83
75,315th, 2 hours 1 minutes 47 seconds,1,85
76,319th, 2 hours 3 minutes 28 seconds,1,86
77,323rd, 2 hours 5 minutes 8 seconds,1,87
78,326th, 2 hours 6 minutes 25 seconds,1,88
79,329th, 2 hours 7 minutes 40 seconds,1,89
80,337th, 2 hours 11 minutes 10 seconds,1,90
81,339th, 2 hours 12 minutes 5 seconds,2,91
82,345th, 2 hours 14 minutes 51 seconds,1,93
83,357th, 2 hours 20 minutes 21 seconds,1,94
84,361st, 2 hours 22 minutes 14 seconds,1,95
85,365th, 2 hours 24 minutes 8 seconds,1,96
86,369th, 2 hours 26 minutes 3 seconds,2,97
87,373rd, 2 hours 27 minutes 39 seconds,1,99
