,世代,時間,出力数,前世代までの合計
0,10th, 1 minutes 2 seconds,1,0
1,12th, 1 minutes 16 seconds,1,1
2,14th, 1 minutes 28 seconds,1,2
3,18th, 16 minutes 58 seconds,1,3
4,21st, 17 minutes 20 seconds,1,4
5,34th, 19 minutes 6 seconds,1,5
6,40th, 19 minutes 52 seconds,3,6
7,45th, 20 minutes 36 seconds,2,9
8,46th, 20 minutes 45 seconds,1,11
9,52nd, 21 minutes 37 seconds,3,12
10,59th, 22 minutes 38 seconds,1,15
11,63rd, 23 minutes 14 seconds,2,16
12,66th, 23 minutes 39 seconds,1,18
13,67th, 23 minutes 47 seconds,1,19
14,91st, 28 minutes 10 seconds,1,20
15,102nd, 30 minutes 23 seconds,1,21
16,124th, 35 minutes 19 seconds,1,22
17,125th, 35 minutes 34 seconds,1,23
18,129th, 36 minutes 33 seconds,3,24
19,136th, 38 minutes 21 seconds,1,27
20,347th, 2 hours 43 minutes 47 seconds,2,28
21,446th, 3 hours 43 minutes 1 seconds,1,30
