,世代,時間,出力数,前世代までの合計
0,2nd, 10 seconds,1,0
1,7th, 41 seconds,1,1
2,24th, 2 minutes 40 seconds,1,2
3,31st, 3 minutes 36 seconds,1,3
4,36th, 4 minutes 17 seconds,1,4
5,39th, 4 minutes 40 seconds,1,5
6,46th, 5 minutes 42 seconds,1,6
7,51st, 21 minutes 29 seconds,1,7
8,55th, 37 minutes 8 seconds,1,8
9,58th, 37 minutes 37 seconds,1,9
10,63rd, 38 minutes 28 seconds,1,10
11,64th, 38 minutes 38 seconds,1,11
12,67th, 39 minutes 10 seconds,2,12
13,68th, 39 minutes 19 seconds,1,14
14,69th, 39 minutes 30 seconds,1,15
15,74th, 40 minutes 22 seconds,1,16
16,122nd, 1 hours 4 minutes 44 seconds,1,17
17,196th, 1 hours 24 minutes 39 seconds,1,18
18,198th, 1 hours 25 minutes 24 seconds,1,19
19,200th, 1 hours 26 minutes 7 seconds,2,20
20,204th, 1 hours 27 minutes 29 seconds,1,22
