,世代,時間,出力数,前世代までの合計
0,2nd, 9 seconds,1,0
1,5th, 24 seconds,1,1
2,7th, 34 seconds,1,2
3,8th, 40 seconds,1,3
4,18th, 1 minutes 43 seconds,1,4
5,20th, 1 minutes 57 seconds,1,5
6,21st, 2 minutes 4 seconds,1,6
7,24th, 2 minutes 24 seconds,1,7
8,27th, 2 minutes 44 seconds,1,8
9,39th, 4 minutes 0 seconds,2,9
10,42nd, 19 minutes 21 seconds,2,11
11,44th, 19 minutes 34 seconds,1,13
12,55th, 21 minutes 6 seconds,1,14
13,56th, 21 minutes 14 seconds,1,15
14,57th, 21 minutes 21 seconds,1,16
15,59th, 21 minutes 38 seconds,2,17
16,62nd, 22 minutes 4 seconds,1,19
17,63rd, 22 minutes 13 seconds,1,20
18,65th, 22 minutes 31 seconds,1,21
19,67th, 22 minutes 49 seconds,1,22
20,68th, 22 minutes 58 seconds,2,23
21,69th, 23 minutes 7 seconds,2,25
22,75th, 24 minutes 7 seconds,1,27
23,76th, 24 minutes 17 seconds,2,28
24,78th, 24 minutes 37 seconds,1,30
25,81st, 25 minutes 9 seconds,1,31
26,82nd, 25 minutes 21 seconds,1,32
27,83rd, 25 minutes 33 seconds,1,33
28,84th, 25 minutes 44 seconds,2,34
29,85th, 25 minutes 55 seconds,2,36
30,88th, 26 minutes 28 seconds,1,38
31,90th, 26 minutes 49 seconds,1,39
32,93rd, 27 minutes 22 seconds,1,40
33,103rd, 29 minutes 18 seconds,1,41
34,129th, 1 hours 5 minutes 17 seconds,1,42
35,320th, 2 hours 18 minutes 3 seconds,1,43
