,世代,時間,出力数,前世代までの合計
0,4th, 22 seconds,2,0
1,6th, 31 seconds,1,2
2,8th, 44 seconds,2,3
3,10th, 58 seconds,2,5
4,16th, 1 minutes 40 seconds,1,7
5,20th, 2 minutes 10 seconds,1,8
6,29th, 3 minutes 26 seconds,1,9
7,30th, 3 minutes 35 seconds,2,10
8,31st, 3 minutes 45 seconds,1,12
9,32nd, 3 minutes 54 seconds,1,13
10,39th, 4 minutes 53 seconds,1,14
11,47th, 5 minutes 59 seconds,1,15
12,51st, 6 minutes 34 seconds,1,16
13,53rd, 6 minutes 53 seconds,1,17
14,54th, 7 minutes 2 seconds,1,18
15,62nd, 8 minutes 15 seconds,1,19
16,65th, 8 minutes 43 seconds,1,20
17,67th, 9 minutes 3 seconds,1,21
18,69th, 9 minutes 23 seconds,2,22
19,73rd, 10 minutes 3 seconds,1,24
20,74th, 10 minutes 14 seconds,1,25
21,75th, 10 minutes 24 seconds,1,26
22,76th, 10 minutes 34 seconds,1,27
23,77th, 10 minutes 45 seconds,2,28
24,78th, 10 minutes 56 seconds,1,30
25,80th, 11 minutes 18 seconds,1,31
26,81st, 11 minutes 28 seconds,1,32
27,82nd, 11 minutes 40 seconds,1,33
28,84th, 12 minutes 1 seconds,1,34
29,85th, 27 minutes 12 seconds,2,35
30,87th, 27 minutes 35 seconds,2,37
31,94th, 28 minutes 56 seconds,1,39
32,113th, 32 minutes 51 seconds,1,40
33,117th, 33 minutes 41 seconds,1,41
34,123rd, 34 minutes 52 seconds,1,42
35,125th, 35 minutes 21 seconds,1,43
36,128th, 36 minutes 2 seconds,1,44
37,131st, 36 minutes 44 seconds,1,45
38,136th, 37 minutes 57 seconds,1,46
39,137th, 38 minutes 12 seconds,1,47
40,138th, 38 minutes 28 seconds,1,48
41,146th, 40 minutes 26 seconds,1,49
42,150th, 41 minutes 28 seconds,1,50
43,152nd, 41 minutes 58 seconds,1,51
44,154th, 42 minutes 29 seconds,1,52
45,156th, 43 minutes 0 seconds,1,53
46,160th, 44 minutes 3 seconds,1,54
47,163rd, 44 minutes 48 seconds,1,55
48,179th, 49 minutes 21 seconds,1,56
49,197th, 1 hours 9 minutes 58 seconds,1,57
50,212th, 1 hours 14 minutes 56 seconds,1,58
51,213th, 1 hours 15 minutes 18 seconds,1,59
52,223rd, 1 hours 18 minutes 49 seconds,1,60
53,252nd, 1 hours 29 minutes 38 seconds,1,61
54,281st, 1 hours 41 minutes 19 seconds,1,62
55,385th, 2 hours 31 minutes 17 seconds,1,63
56,388th, 2 hours 32 minutes 48 seconds,1,64
57,401st, 2 hours 39 minutes 41 seconds,1,65
58,402nd, 2 hours 40 minutes 14 seconds,1,66
59,403rd, 2 hours 40 minutes 45 seconds,1,67
60,404th, 2 hours 41 minutes 18 seconds,1,68
61,405th, 2 hours 41 minutes 49 seconds,2,69
62,411th, 2 hours 45 minutes 3 seconds,2,71
63,430th, 2 hours 56 minutes 18 seconds,1,73
64,431st, 2 hours 56 minutes 54 seconds,1,74
65,471st, 3 hours 22 minutes 40 seconds,1,75
66,489th, 3 hours 35 minutes 0 seconds,1,76
