,世代,時間,出力数,前世代までの合計
0,4th, 20 seconds,1,0
1,7th, 37 seconds,1,1
2,15th, 16 minutes 31 seconds,2,2
3,18th, 16 minutes 51 seconds,1,4
4,26th, 17 minutes 56 seconds,2,5
5,32nd, 18 minutes 45 seconds,1,7
6,34th, 19 minutes 2 seconds,2,8
7,48th, 35 minutes 55 seconds,1,10
8,50th, 36 minutes 15 seconds,1,11
9,51st, 36 minutes 23 seconds,1,12
10,80th, 1 hours 11 minutes 38 seconds,1,13
11,81st, 1 hours 11 minutes 49 seconds,1,14
12,84th, 1 hours 12 minutes 24 seconds,2,15
13,91st, 1 hours 13 minutes 46 seconds,1,17
14,177th, 1 hours 50 minutes 28 seconds,1,18
15,186th, 2 hours 8 minutes 6 seconds,1,19
16,194th, 2 hours 25 minutes 32 seconds,1,20
17,209th, 3 hours 19 seconds,1,21
18,215th, 3 hours 2 minutes 27 seconds,1,22
19,229th, 3 hours 7 minutes 36 seconds,1,23
20,242nd, 3 hours 12 minutes 13 seconds,1,24
21,246th, 3 hours 13 minutes 47 seconds,1,25
22,248th, 3 hours 14 minutes 35 seconds,1,26
23,255th, 3 hours 17 minutes 21 seconds,1,27
24,278th, 3 hours 27 minutes 12 seconds,1,28
25,285th, 3 hours 30 minutes 24 seconds,2,29
26,288th, 3 hours 31 minutes 41 seconds,1,31
27,298th, 3 hours 36 minutes 13 seconds,1,32
28,304th, 3 hours 39 minutes 3 seconds,1,33
29,308th, 3 hours 40 minutes 58 seconds,1,34
30,310th, 3 hours 41 minutes 52 seconds,1,35
31,323rd, 3 hours 48 minutes 6 seconds,1,36
32,325th, 3 hours 49 minutes 9 seconds,1,37
33,330th, 3 hours 51 minutes 43 seconds,1,38
34,336th, 3 hours 54 minutes 44 seconds,1,39
35,338th, 3 hours 55 minutes 46 seconds,1,40
36,339th, 3 hours 56 minutes 15 seconds,1,41
37,343rd, 4 hours 13 minutes 20 seconds,1,42
38,344th, 4 hours 13 minutes 48 seconds,1,43
39,345th, 4 hours 14 minutes 17 seconds,1,44
40,346th, 4 hours 14 minutes 47 seconds,2,45
41,374th, 4 hours 45 minutes 13 seconds,1,47
42,381st, 4 hours 49 minutes 12 seconds,1,48
43,384th, 4 hours 50 minutes 54 seconds,1,49
44,388th, 4 hours 53 minutes 14 seconds,1,50
45,391st, 4 hours 54 minutes 57 seconds,1,51
46,399th, 4 hours 59 minutes 36 seconds,1,52
47,403rd, 5 hours 1 minutes 53 seconds,1,53
48,405th, 5 hours 3 minutes 5 seconds,3,54
49,413th, 5 hours 8 minutes 9 seconds,1,57
50,417th, 5 hours 10 minutes 38 seconds,2,58
51,421st, 5 hours 13 minutes 10 seconds,1,60
52,423rd, 5 hours 14 minutes 25 seconds,1,61
53,424th, 5 hours 15 minutes 6 seconds,1,62
54,425th, 5 hours 15 minutes 45 seconds,1,63
55,433rd, 5 hours 20 minutes 51 seconds,1,64
56,456th, 5 hours 36 minutes 22 seconds,1,65
57,463rd, 5 hours 41 minutes 12 seconds,1,66
58,471st, 5 hours 46 minutes 51 seconds,1,67
59,472nd, 5 hours 47 minutes 34 seconds,1,68
60,476th, 5 hours 50 minutes 24 seconds,1,69
61,477th, 5 hours 51 minutes 8 seconds,1,70
62,500th, 6 hours 8 minutes 9 seconds,1,71
