,世代,時間,出力数,前世代までの合計
0,4th, 22 seconds,1,0
1,5th, 29 seconds,1,1
2,10th, 16 minutes 3 seconds,1,2
3,13th, 16 minutes 24 seconds,1,3
4,30th, 18 minutes 35 seconds,1,4
5,37th, 19 minutes 31 seconds,1,5
6,39th, 19 minutes 47 seconds,1,6
7,61st, 53 minutes 6 seconds,1,7
8,64th, 53 minutes 34 seconds,1,8
9,66th, 53 minutes 51 seconds,1,9
10,174th, 2 hours 3 minutes 43 seconds,2,10
11,207th, 2 hours 14 minutes 35 seconds,1,12
12,236th, 2 hours 24 minutes 58 seconds,1,13
13,273rd, 2 hours 38 minutes 25 seconds,1,14
14,279th, 2 hours 40 minutes 50 seconds,1,15
