,世代,時間,出力数,前世代までの合計
0,1st, 18 seconds,2,0
1,4th, 1 minutes 54 seconds,1,2
2,6th, 2 minutes 50 seconds,1,3
3,7th, 3 minutes 21 seconds,1,4
4,8th, 3 minutes 50 seconds,7,5
5,9th, 4 minutes 18 seconds,6,12
6,10th, 4 minutes 44 seconds,6,18
7,11th, 5 minutes 20 seconds,7,24
8,12th, 5 minutes 50 seconds,2,31
9,13th, 6 minutes 13 seconds,2,33
10,14th, 6 minutes 32 seconds,5,35
11,15th, 7 minutes 3 seconds,6,40
12,16th, 7 minutes 41 seconds,9,46
13,17th, 8 minutes 15 seconds,3,55
14,18th, 8 minutes 53 seconds,7,58
15,19th, 9 minutes 29 seconds,3,65
16,20th, 10 minutes 14 seconds,4,68
17,21st, 10 minutes 55 seconds,6,72
18,22nd, 11 minutes 35 seconds,2,78
19,23rd, 12 minutes 14 seconds,2,80
20,24th, 12 minutes 57 seconds,3,82
21,25th, 13 minutes 41 seconds,2,85
22,26th, 14 minutes 25 seconds,1,87
23,27th, 15 minutes 10 seconds,2,88
24,29th, 16 minutes 36 seconds,2,90
25,30th, 17 minutes 17 seconds,2,92
26,31st, 17 minutes 59 seconds,1,94
27,34th, 20 minutes 20 seconds,1,95
28,35th, 21 minutes 7 seconds,2,96
29,36th, 21 minutes 48 seconds,2,98
