,世代,時間,出力数,前世代までの合計
0,1st, 27 seconds,1,0
1,3rd, 1 minutes 18 seconds,1,1
2,5th, 2 minutes 13 seconds,1,2
3,7th, 3 minutes 16 seconds,2,3
4,8th, 3 minutes 46 seconds,1,5
5,9th, 4 minutes 19 seconds,2,6
6,10th, 4 minutes 53 seconds,7,8
7,11th, 5 minutes 29 seconds,3,15
8,12th, 5 minutes 58 seconds,3,18
9,13th, 6 minutes 30 seconds,4,21
10,14th, 7 minutes 4 seconds,3,25
11,15th, 7 minutes 30 seconds,3,28
12,16th, 8 minutes 12 seconds,9,31
13,17th, 9 minutes 0 seconds,9,40
14,18th, 9 minutes 35 seconds,9,49
15,19th, 10 minutes 18 seconds,4,58
16,20th, 11 minutes 3 seconds,6,62
17,21st, 11 minutes 47 seconds,8,68
18,22nd, 12 minutes 33 seconds,6,76
19,23rd, 13 minutes 20 seconds,5,82
20,24th, 14 minutes 10 seconds,10,87
21,25th, 14 minutes 44 seconds,3,97
