,世代,時間,出力数,前世代までの合計
0,1st, 19 seconds,1,0
1,7th, 3 minutes 23 seconds,5,1
2,8th, 3 minutes 58 seconds,2,6
3,9th, 4 minutes 32 seconds,4,8
4,10th, 5 minutes 7 seconds,1,12
5,11th, 5 minutes 50 seconds,5,13
6,12th, 6 minutes 34 seconds,6,18
7,13th, 7 minutes 14 seconds,5,24
8,14th, 7 minutes 49 seconds,2,29
9,15th, 8 minutes 33 seconds,2,31
10,17th, 10 minutes 1 seconds,1,33
11,18th, 10 minutes 44 seconds,2,34
12,19th, 11 minutes 28 seconds,1,36
13,20th, 12 minutes 18 seconds,5,37
14,21st, 12 minutes 56 seconds,1,42
15,23rd, 14 minutes 25 seconds,1,43
16,24th, 15 minutes 14 seconds,1,44
17,25th, 15 minutes 52 seconds,1,45
18,27th, 17 minutes 23 seconds,1,46
19,28th, 18 minutes 7 seconds,3,47
20,29th, 18 minutes 59 seconds,2,50
21,33rd, 22 minutes 33 seconds,1,52
22,35th, 24 minutes 24 seconds,1,53
23,38th, 27 minutes 7 seconds,1,54
24,41st, 30 minutes 1 seconds,1,55
25,43rd, 32 minutes 0 seconds,1,56
26,45th, 33 minutes 53 seconds,1,57
27,51st, 39 minutes 24 seconds,1,58
28,52nd, 40 minutes 16 seconds,1,59
29,53rd, 41 minutes 6 seconds,3,60
30,56th, 43 minutes 48 seconds,4,63
31,57th, 44 minutes 49 seconds,1,67
32,58th, 45 minutes 47 seconds,1,68
33,59th, 46 minutes 46 seconds,4,69
34,60th, 47 minutes 45 seconds,2,73
35,61st, 48 minutes 40 seconds,1,75
36,62nd, 49 minutes 42 seconds,3,76
37,63rd, 50 minutes 40 seconds,3,79
38,64th, 51 minutes 43 seconds,2,82
39,65th, 52 minutes 42 seconds,1,84
40,66th, 53 minutes 46 seconds,3,85
41,67th, 54 minutes 45 seconds,3,88
42,68th, 55 minutes 43 seconds,2,91
43,69th, 56 minutes 43 seconds,1,93
44,71st, 58 minutes 30 seconds,1,94
45,72nd, 59 minutes 31 seconds,3,95
46,73rd, 1 hours 22 seconds,2,98
