,世代,時間,出力数,前世代までの合計
0,1st, 8 seconds,1,0
1,22nd, 7 minutes 23 seconds,1,1
2,26th, 9 minutes 5 seconds,1,2
3,27th, 9 minutes 32 seconds,2,3
4,28th, 9 minutes 56 seconds,1,5
5,30th, 10 minutes 50 seconds,2,6
6,39th, 14 minutes 54 seconds,1,8
7,42nd, 16 minutes 10 seconds,1,9
8,46th, 17 minutes 23 seconds,1,10
9,54th, 20 minutes 10 seconds,1,11
10,56th, 20 minutes 52 seconds,1,12
11,62nd, 22 minutes 52 seconds,1,13
12,63rd, 23 minutes 11 seconds,1,14
13,65th, 23 minutes 55 seconds,1,15
14,72nd, 26 minutes 37 seconds,1,16
15,73rd, 27 minutes 1 seconds,1,17
16,74th, 27 minutes 25 seconds,1,18
17,75th, 27 minutes 45 seconds,1,19
18,76th, 28 minutes 7 seconds,1,20
19,82nd, 30 minutes 23 seconds,1,21
20,83rd, 30 minutes 44 seconds,1,22
21,84th, 31 minutes 4 seconds,1,23
22,86th, 31 minutes 47 seconds,1,24
23,87th, 32 minutes 10 seconds,1,25
24,88th, 32 minutes 33 seconds,2,26
25,89th, 32 minutes 53 seconds,1,28
26,101st, 37 minutes 58 seconds,3,29
27,102nd, 38 minutes 25 seconds,1,32
28,109th, 41 minutes 25 seconds,1,33
29,110th, 41 minutes 46 seconds,1,34
30,112th, 42 minutes 33 seconds,1,35
31,115th, 43 minutes 41 seconds,1,36
32,116th, 44 minutes 3 seconds,1,37
33,120th, 45 minutes 44 seconds,1,38
34,121st, 46 minutes 9 seconds,1,39
35,126th, 48 minutes 23 seconds,1,40
36,129th, 49 minutes 46 seconds,2,41
37,130th, 50 minutes 15 seconds,3,43
38,131st, 50 minutes 44 seconds,1,46
39,136th, 53 minutes 14 seconds,1,47
40,140th, 55 minutes 26 seconds,1,48
41,142nd, 56 minutes 28 seconds,1,49
42,145th, 57 minutes 58 seconds,1,50
43,148th, 59 minutes 31 seconds,1,51
44,157th, 1 hours 4 minutes 1 seconds,1,52
45,159th, 1 hours 5 minutes 0 seconds,1,53
46,160th, 1 hours 5 minutes 29 seconds,1,54
47,161st, 1 hours 5 minutes 57 seconds,1,55
48,166th, 1 hours 8 minutes 19 seconds,1,56
49,168th, 1 hours 9 minutes 12 seconds,1,57
50,171st, 1 hours 10 minutes 33 seconds,1,58
51,172nd, 1 hours 11 minutes 4 seconds,1,59
52,176th, 1 hours 13 minutes 6 seconds,2,60
53,177th, 1 hours 13 minutes 36 seconds,2,62
54,180th, 1 hours 15 minutes 13 seconds,1,64
55,188th, 1 hours 19 minutes 29 seconds,1,65
56,194th, 1 hours 22 minutes 19 seconds,1,66
57,198th, 1 hours 24 minutes 19 seconds,1,67
58,202nd, 1 hours 26 minutes 28 seconds,1,68
59,203rd, 1 hours 27 minutes 0 seconds,1,69
60,214th, 1 hours 33 minutes 23 seconds,1,70
61,223rd, 1 hours 38 minutes 54 seconds,1,71
62,235th, 1 hours 46 minutes 42 seconds,1,72
63,236th, 1 hours 47 minutes 27 seconds,1,73
64,240th, 1 hours 50 minutes 9 seconds,1,74
65,241st, 1 hours 50 minutes 49 seconds,2,75
66,244th, 1 hours 52 minutes 52 seconds,1,77
67,245th, 1 hours 53 minutes 29 seconds,2,78
68,252nd, 1 hours 57 minutes 46 seconds,1,80
69,253rd, 1 hours 58 minutes 25 seconds,1,81
70,261st, 2 hours 3 minutes 27 seconds,1,82
71,262nd, 2 hours 4 minutes 6 seconds,1,83
72,263rd, 2 hours 4 minutes 52 seconds,1,84
73,264th, 2 hours 5 minutes 38 seconds,1,85
74,268th, 2 hours 8 minutes 52 seconds,1,86
75,277th, 2 hours 15 minutes 43 seconds,1,87
76,283rd, 2 hours 20 minutes 40 seconds,1,88
77,284th, 2 hours 21 minutes 24 seconds,1,89
78,289th, 2 hours 25 minutes 23 seconds,2,90
79,297th, 2 hours 32 minutes 2 seconds,2,92
80,300th, 2 hours 34 minutes 13 seconds,1,94
81,303rd, 2 hours 36 minutes 34 seconds,1,95
82,315th, 2 hours 47 minutes 28 seconds,1,96
83,320th, 2 hours 52 minutes 40 seconds,1,97
84,333rd, 3 hours 11 minutes 56 seconds,1,98
85,338th, 3 hours 17 minutes 13 seconds,1,99
