,世代,時間,出力数,前世代までの合計
0,1st, 18 seconds,1,0
1,5th, 2 minutes 21 seconds,1,1
2,6th, 2 minutes 59 seconds,1,2
3,8th, 3 minutes 55 seconds,1,3
4,9th, 4 minutes 22 seconds,4,4
5,10th, 4 minutes 54 seconds,4,8
6,11th, 5 minutes 24 seconds,1,12
7,12th, 5 minutes 52 seconds,4,13
8,13th, 6 minutes 23 seconds,3,17
9,14th, 6 minutes 54 seconds,5,20
10,15th, 7 minutes 32 seconds,5,25
11,16th, 8 minutes 10 seconds,2,30
12,17th, 8 minutes 46 seconds,4,32
13,18th, 9 minutes 25 seconds,6,36
14,19th, 10 minutes 5 seconds,8,42
15,20th, 11 minutes 6 seconds,2,50
16,21st, 11 minutes 51 seconds,1,52
17,23rd, 13 minutes 26 seconds,1,53
18,24th, 14 minutes 17 seconds,2,54
19,25th, 15 minutes 3 seconds,3,56
20,27th, 16 minutes 55 seconds,1,59
21,28th, 17 minutes 47 seconds,1,60
22,32nd, 21 minutes 15 seconds,1,61
23,33rd, 22 minutes 4 seconds,2,62
24,39th, 26 minutes 56 seconds,1,64
25,42nd, 29 minutes 41 seconds,1,65
26,43rd, 30 minutes 34 seconds,1,66
27,46th, 33 minutes 0 seconds,1,67
28,48th, 34 minutes 43 seconds,1,68
29,53rd, 39 minutes 20 seconds,1,69
30,56th, 42 minutes 5 seconds,1,70
31,58th, 43 minutes 57 seconds,1,71
32,66th, 51 minutes 23 seconds,1,72
33,77th, 1 hours 1 minutes 44 seconds,2,73
34,87th, 1 hours 11 minutes 39 seconds,1,75
35,93rd, 1 hours 17 minutes 51 seconds,1,76
36,111th, 1 hours 37 minutes 23 seconds,1,77
37,121st, 1 hours 48 minutes 47 seconds,1,78
38,122nd, 1 hours 49 minutes 57 seconds,1,79
39,125th, 1 hours 53 minutes 5 seconds,1,80
40,129th, 1 hours 57 minutes 34 seconds,1,81
41,134th, 2 hours 3 minutes 2 seconds,1,82
42,140th, 2 hours 10 minutes 24 seconds,1,83
43,144th, 2 hours 15 minutes 30 seconds,1,84
44,145th, 2 hours 16 minutes 43 seconds,1,85
45,147th, 2 hours 19 minutes 14 seconds,1,86
46,156th, 2 hours 30 minutes 47 seconds,1,87
47,157th, 2 hours 32 minutes 4 seconds,1,88
48,167th, 2 hours 44 minutes 2 seconds,1,89
49,171st, 2 hours 48 minutes 51 seconds,1,90
50,172nd, 2 hours 50 minutes 12 seconds,1,91
51,174th, 2 hours 52 minutes 40 seconds,1,92
52,179th, 2 hours 58 minutes 55 seconds,2,93
53,180th, 3 hours 10 seconds,1,95
54,186th, 3 hours 8 minutes 19 seconds,1,96
55,187th, 3 hours 9 minutes 40 seconds,1,97
56,191st, 3 hours 13 minutes 49 seconds,2,98
