,世代,時間,出力数,前世代までの合計
0,1st, 15 minutes 3 seconds,1,0
1,3rd, 1 hours 48 minutes 12 seconds,1,1
2,13th, 2 hours 19 minutes 34 seconds,1,2
3,23rd, 4 hours 8 minutes 8 seconds,1,3
4,28th, 4 hours 48 minutes 17 seconds,1,4
5,36th, 4 hours 50 minutes 17 seconds,1,5
6,41st, 4 hours 51 minutes 34 seconds,1,6
7,42nd, 4 hours 51 minutes 50 seconds,1,7
8,43rd, 5 hours 16 minutes 5 seconds,2,8
9,44th, 5 hours 16 minutes 23 seconds,1,10
10,47th, 5 hours 17 minutes 14 seconds,3,11
11,49th, 5 hours 17 minutes 46 seconds,2,14
12,52nd, 5 hours 42 minutes 33 seconds,1,16
13,53rd, 5 hours 42 minutes 48 seconds,1,17
14,54th, 5 hours 43 minutes 4 seconds,2,18
15,55th, 5 hours 43 minutes 20 seconds,1,20
16,56th, 5 hours 43 minutes 37 seconds,1,21
17,59th, 5 hours 44 minutes 27 seconds,2,22
18,61st, 5 hours 45 minutes 3 seconds,2,24
19,62nd, 5 hours 45 minutes 21 seconds,1,26
20,63rd, 5 hours 45 minutes 41 seconds,1,27
21,64th, 5 hours 45 minutes 59 seconds,1,28
22,65th, 5 hours 46 minutes 17 seconds,4,29
23,66th, 5 hours 46 minutes 37 seconds,4,33
24,67th, 6 hours 10 minutes 56 seconds,2,37
25,69th, 6 hours 11 minutes 31 seconds,1,39
26,72nd, 6 hours 12 minutes 24 seconds,1,40
27,73rd, 6 hours 12 minutes 42 seconds,1,41
28,74th, 6 hours 13 minutes 0 seconds,1,42
29,85th, 6 hours 16 minutes 23 seconds,1,43
30,87th, 6 hours 17 minutes 5 seconds,1,44
31,93rd, 6 hours 19 minutes 6 seconds,1,45
32,102nd, 6 hours 22 minutes 6 seconds,1,46
33,107th, 6 hours 23 minutes 47 seconds,1,47
34,108th, 6 hours 24 minutes 6 seconds,1,48
35,109th, 6 hours 24 minutes 26 seconds,1,49
36,125th, 6 hours 30 minutes 32 seconds,1,50
37,133rd, 6 hours 33 minutes 56 seconds,1,51
38,142nd, 6 hours 37 minutes 44 seconds,3,52
39,145th, 6 hours 38 minutes 57 seconds,2,55
40,147th, 6 hours 39 minutes 48 seconds,2,57
41,148th, 6 hours 40 minutes 13 seconds,2,59
42,151st, 6 hours 41 minutes 28 seconds,1,61
43,153rd, 6 hours 42 minutes 20 seconds,1,62
44,168th, 7 hours 4 minutes 6 seconds,1,63
45,172nd, 7 hours 5 minutes 56 seconds,2,64
46,177th, 7 hours 26 minutes 11 seconds,1,66
47,197th, 8 hours 20 minutes 45 seconds,1,67
48,198th, 8 hours 21 minutes 17 seconds,2,68
49,201st, 8 hours 22 minutes 50 seconds,1,70
50,202nd, 8 hours 23 minutes 22 seconds,1,71
51,203rd, 8 hours 23 minutes 55 seconds,1,72
52,209th, 8 hours 42 minutes 31 seconds,1,73
53,216th, 8 hours 47 minutes 12 seconds,1,74
54,217th, 8 hours 47 minutes 51 seconds,1,75
55,218th, 9 hours 6 minutes 20 seconds,1,76
56,226th, 9 hours 27 minutes 50 seconds,1,77
57,228th, 9 hours 29 minutes 8 seconds,1,78
58,243rd, 9 hours 38 minutes 34 seconds,1,79
59,249th, 9 hours 57 minutes 29 seconds,1,80
60,253rd, 10 hours 3 seconds,1,81
61,258th, 10 hours 3 minutes 17 seconds,1,82
62,259th, 10 hours 3 minutes 56 seconds,1,83
63,262nd, 10 hours 5 minutes 57 seconds,1,84
64,264th, 10 hours 22 minutes 18 seconds,1,85
65,267th, 10 hours 39 minutes 15 seconds,1,86
66,271st, 11 hours 5 minutes 58 seconds,1,87
67,273rd, 11 hours 7 minutes 22 seconds,1,88
68,275th, 11 hours 8 minutes 49 seconds,1,89
69,278th, 11 hours 11 minutes 2 seconds,1,90
70,280th, 11 hours 12 minutes 31 seconds,1,91
71,295th, 11 hours 23 minutes 55 seconds,1,92
72,299th, 11 hours 27 minutes 15 seconds,1,93
73,310th, 11 hours 36 minutes 52 seconds,1,94
74,323rd, 12 hours 3 minutes 35 seconds,1,95
75,331st, 12 hours 10 minutes 56 seconds,1,96
76,333rd, 12 hours 12 minutes 42 seconds,1,97
77,351st, 12 hours 29 minutes 24 seconds,1,98
78,352nd, 12 hours 29 minutes 53 seconds,1,99
