,世代,時間,出力数,前世代までの合計
0,9th, 4 hours 23 minutes 30 seconds,1,0
1,11th, 4 hours 47 minutes 46 seconds,1,1
2,18th, 6 hours 36 minutes 48 seconds,1,2
3,19th, 6 hours 36 minutes 57 seconds,1,3
4,28th, 8 hours 3 minutes 44 seconds,1,4
5,42nd, 8 hours 21 minutes 34 seconds,1,5
6,45th, 8 hours 22 minutes 12 seconds,1,6
7,46th, 8 hours 22 minutes 24 seconds,1,7
8,47th, 8 hours 22 minutes 39 seconds,2,8
9,53rd, 8 hours 39 minutes 13 seconds,1,10
10,60th, 8 hours 55 minutes 54 seconds,1,11
11,62nd, 8 hours 56 minutes 22 seconds,1,12
12,64th, 8 hours 56 minutes 51 seconds,1,13
13,80th, 9 hours 49 seconds,1,14
14,83rd, 9 hours 1 minutes 44 seconds,2,15
15,93rd, 9 hours 21 minutes 3 seconds,2,17
16,96th, 9 hours 22 minutes 1 seconds,1,19
17,98th, 9 hours 37 minutes 40 seconds,1,20
18,99th, 9 hours 38 minutes 0 seconds,1,21
19,100th, 9 hours 38 minutes 21 seconds,1,22
20,101st, 9 hours 38 minutes 42 seconds,2,23
21,102nd, 9 hours 39 minutes 3 seconds,1,25
22,103rd, 9 hours 39 minutes 24 seconds,2,26
23,104th, 9 hours 39 minutes 45 seconds,2,28
24,106th, 9 hours 40 minutes 30 seconds,3,30
25,107th, 9 hours 40 minutes 53 seconds,2,33
26,108th, 9 hours 41 minutes 13 seconds,4,35
27,109th, 9 hours 41 minutes 35 seconds,4,39
28,114th, 9 hours 43 minutes 22 seconds,1,43
29,118th, 9 hours 44 minutes 55 seconds,1,44
30,121st, 9 hours 46 minutes 3 seconds,1,45
31,122nd, 9 hours 46 minutes 27 seconds,6,46
32,123rd, 9 hours 46 minutes 50 seconds,2,52
33,124th, 9 hours 56 minutes 11 seconds,3,54
34,125th, 10 hours 11 minutes 35 seconds,1,57
35,126th, 10 hours 12 minutes 0 seconds,1,58
36,127th, 10 hours 27 minutes 23 seconds,2,59
37,128th, 10 hours 51 minutes 48 seconds,5,61
38,129th, 10 hours 52 minutes 13 seconds,5,66
39,130th, 10 hours 52 minutes 38 seconds,5,71
40,131st, 10 hours 53 minutes 1 seconds,2,76
41,132nd, 10 hours 53 minutes 25 seconds,2,78
42,134th, 11 hours 30 minutes 0 seconds,6,80
43,135th, 11 hours 30 minutes 24 seconds,3,86
44,136th, 11 hours 30 minutes 48 seconds,3,89
45,137th, 11 hours 31 minutes 11 seconds,2,92
46,138th, 11 hours 31 minutes 34 seconds,1,94
47,139th, 11 hours 31 minutes 58 seconds,3,95
48,141st, 11 hours 32 minutes 42 seconds,2,98
