,世代,時間,出力数,前世代までの合計
0,1st, 2 seconds,1,0
1,2nd, 39 minutes 6 seconds,1,1
2,3rd, 2 hours 9 minutes 11 seconds,3,2
3,5th, 2 hours 9 minutes 21 seconds,1,5
4,6th, 2 hours 9 minutes 29 seconds,1,6
5,8th, 3 hours 3 minutes 42 seconds,3,7
6,10th, 3 hours 4 minutes 0 seconds,1,10
7,11th, 3 hours 25 minutes 10 seconds,1,11
8,12th, 3 hours 40 minutes 19 seconds,1,12
9,14th, 4 hours 4 minutes 39 seconds,2,13
10,25th, 6 hours 22 minutes 34 seconds,1,15
11,28th, 6 hours 38 minutes 11 seconds,1,16
12,31st, 7 hours 17 minutes 54 seconds,1,17
13,32nd, 7 hours 18 minutes 9 seconds,1,18
14,33rd, 7 hours 18 minutes 24 seconds,1,19
15,37th, 7 hours 19 minutes 25 seconds,2,20
16,43rd, 7 hours 45 minutes 6 seconds,1,22
17,45th, 8 hours 33 minutes 41 seconds,1,23
18,47th, 8 hours 34 minutes 18 seconds,1,24
19,48th, 8 hours 34 minutes 38 seconds,1,25
20,57th, 9 hours 7 minutes 32 seconds,1,26
21,58th, 9 hours 7 minutes 53 seconds,2,27
22,67th, 9 hours 26 minutes 3 seconds,2,29
23,78th, 9 hours 29 minutes 58 seconds,3,31
24,79th, 9 hours 30 minutes 21 seconds,1,34
25,81st, 9 hours 46 minutes 7 seconds,2,35
26,84th, 9 hours 47 minutes 12 seconds,1,37
27,87th, 9 hours 48 minutes 17 seconds,1,38
28,88th, 9 hours 48 minutes 40 seconds,1,39
29,94th, 9 hours 53 minutes 2 seconds,1,40
30,95th, 9 hours 53 minutes 24 seconds,1,41
31,98th, 9 hours 54 minutes 36 seconds,1,42
32,99th, 9 hours 54 minutes 59 seconds,1,43
33,101st, 9 hours 55 minutes 47 seconds,1,44
34,103rd, 9 hours 56 minutes 35 seconds,3,45
35,105th, 9 hours 57 minutes 22 seconds,2,48
36,108th, 9 hours 58 minutes 35 seconds,1,50
37,110th, 9 hours 59 minutes 23 seconds,1,51
38,111th, 9 hours 59 minutes 50 seconds,1,52
39,114th, 10 hours 16 minutes 5 seconds,2,53
40,116th, 10 hours 16 minutes 56 seconds,2,55
41,119th, 10 hours 18 minutes 13 seconds,1,57
42,120th, 10 hours 18 minutes 41 seconds,1,58
43,121st, 10 hours 19 minutes 8 seconds,1,59
44,122nd, 10 hours 19 minutes 35 seconds,1,60
45,124th, 10 hours 20 minutes 28 seconds,1,61
46,127th, 10 hours 21 minutes 49 seconds,1,62
47,130th, 10 hours 41 minutes 13 seconds,3,63
48,134th, 10 hours 43 minutes 9 seconds,1,66
49,137th, 11 hours 8 minutes 41 seconds,1,67
50,138th, 11 hours 9 minutes 9 seconds,1,68
51,141st, 11 hours 25 minutes 34 seconds,3,69
52,142nd, 11 hours 26 minutes 4 seconds,1,72
53,145th, 11 hours 29 minutes 18 seconds,1,73
54,146th, 11 hours 29 minutes 47 seconds,2,74
55,147th, 11 hours 30 minutes 17 seconds,1,76
56,148th, 11 hours 30 minutes 50 seconds,1,77
57,149th, 11 hours 58 minutes 23 seconds,1,78
58,150th, 11 hours 58 minutes 56 seconds,2,79
59,153rd, 12 hours 35 seconds,1,81
60,157th, 12 hours 2 minutes 50 seconds,1,82
61,159th, 12 hours 3 minutes 58 seconds,1,83
62,160th, 12 hours 4 minutes 29 seconds,1,84
63,162nd, 12 hours 5 minutes 39 seconds,1,85
64,163rd, 12 hours 6 minutes 12 seconds,2,86
65,166th, 12 hours 7 minutes 54 seconds,2,88
66,171st, 12 hours 10 minutes 47 seconds,1,90
67,172nd, 12 hours 11 minutes 21 seconds,1,91
68,174th, 12 hours 12 minutes 33 seconds,1,92
69,175th, 12 hours 13 minutes 11 seconds,2,93
70,179th, 12 hours 15 minutes 38 seconds,1,95
71,180th, 12 hours 15 minutes 56 seconds,4,96
