,世代,時間,出力数,前世代までの合計
0,1st, 24 minutes 3 seconds,1,0
1,2nd, 48 minutes 5 seconds,1,1
2,3rd, 2 hours 36 minutes 11 seconds,1,2
3,4th, 3 hours 6 minutes 18 seconds,1,3
4,13th, 4 hours 49 minutes 27 seconds,1,4
5,16th, 5 hours 15 minutes 20 seconds,1,5
6,19th, 5 hours 32 minutes 8 seconds,2,6
7,22nd, 5 hours 32 minutes 39 seconds,2,8
8,23rd, 5 hours 41 minutes 50 seconds,1,10
9,26th, 6 hours 15 minutes 26 seconds,1,11
10,28th, 6 hours 15 minutes 51 seconds,1,12
11,30th, 6 hours 16 minutes 16 seconds,1,13
12,33rd, 6 hours 16 minutes 57 seconds,1,14
13,36th, 6 hours 17 minutes 38 seconds,1,15
14,39th, 6 hours 18 minutes 23 seconds,1,16
15,44th, 6 hours 19 minutes 40 seconds,1,17
16,45th, 6 hours 19 minutes 55 seconds,1,18
17,48th, 6 hours 35 minutes 39 seconds,1,19
18,49th, 6 hours 35 minutes 54 seconds,1,20
19,50th, 6 hours 36 minutes 9 seconds,1,21
20,51st, 6 hours 36 minutes 24 seconds,1,22
21,54th, 7 hours 2 minutes 30 seconds,1,23
22,58th, 7 hours 3 minutes 31 seconds,1,24
23,59th, 7 hours 3 minutes 49 seconds,1,25
24,60th, 7 hours 4 minutes 6 seconds,1,26
25,65th, 8 hours 20 minutes 40 seconds,1,27
26,69th, 8 hours 21 minutes 58 seconds,1,28
27,71st, 8 hours 22 minutes 40 seconds,1,29
28,72nd, 8 hours 23 minutes 1 seconds,1,30
29,77th, 8 hours 24 minutes 44 seconds,1,31
30,80th, 8 hours 25 minutes 49 seconds,1,32
31,83rd, 8 hours 26 minutes 58 seconds,1,33
32,84th, 8 hours 27 minutes 21 seconds,1,34
33,86th, 8 hours 28 minutes 9 seconds,1,35
34,87th, 8 hours 28 minutes 34 seconds,1,36
35,90th, 8 hours 29 minutes 49 seconds,1,37
36,92nd, 8 hours 30 minutes 35 seconds,1,38
37,93rd, 8 hours 30 minutes 59 seconds,1,39
38,94th, 8 hours 31 minutes 24 seconds,1,40
39,95th, 8 hours 46 minutes 48 seconds,2,41
40,96th, 8 hours 47 minutes 12 seconds,1,43
41,97th, 8 hours 47 minutes 39 seconds,1,44
42,98th, 8 hours 48 minutes 4 seconds,1,45
43,101st, 8 hours 49 minutes 16 seconds,1,46
44,102nd, 8 hours 49 minutes 39 seconds,1,47
45,107th, 9 hours 15 minutes 47 seconds,1,48
46,110th, 9 hours 17 minutes 11 seconds,1,49
47,112th, 9 hours 18 minutes 8 seconds,1,50
48,113th, 9 hours 18 minutes 36 seconds,1,51
49,118th, 9 hours 21 minutes 1 seconds,1,52
50,122nd, 9 hours 22 minutes 59 seconds,1,53
51,123rd, 9 hours 23 minutes 28 seconds,1,54
52,125th, 9 hours 24 minutes 31 seconds,1,55
53,127th, 9 hours 25 minutes 32 seconds,1,56
54,128th, 9 hours 26 minutes 2 seconds,2,57
55,129th, 9 hours 26 minutes 31 seconds,3,59
56,131st, 9 hours 28 minutes 53 seconds,2,62
57,136th, 9 hours 46 minutes 34 seconds,1,64
58,142nd, 9 hours 49 minutes 51 seconds,1,65
59,144th, 9 hours 50 minutes 57 seconds,2,66
60,147th, 9 hours 52 minutes 37 seconds,1,68
61,148th, 10 hours 17 minutes 11 seconds,1,69
62,149th, 10 hours 17 minutes 44 seconds,1,70
63,156th, 11 hours 9 minutes 38 seconds,1,71
64,158th, 11 hours 10 minutes 48 seconds,2,72
65,159th, 11 hours 11 minutes 22 seconds,2,74
66,163rd, 11 hours 13 minutes 41 seconds,1,76
67,167th, 11 hours 16 minutes 4 seconds,3,77
68,168th, 11 hours 16 minutes 38 seconds,3,80
69,169th, 11 hours 17 minutes 14 seconds,1,83
70,170th, 11 hours 17 minutes 49 seconds,4,84
71,171st, 11 hours 18 minutes 24 seconds,1,88
72,177th, 11 hours 22 minutes 0 seconds,3,89
73,179th, 11 hours 23 minutes 14 seconds,1,92
74,181st, 11 hours 24 minutes 29 seconds,2,93
75,182nd, 11 hours 25 minutes 5 seconds,1,95
76,185th, 11 hours 26 minutes 57 seconds,1,96
77,188th, 11 hours 28 minutes 48 seconds,1,97
78,193rd, 11 hours 31 minutes 47 seconds,1,98
79,200th, 11 hours 35 minutes 42 seconds,1,99
