,世代,時間,出力数,前世代までの合計
0,4th, 2 hours 18 minutes 19 seconds,1,0
1,5th, 2 hours 18 minutes 25 seconds,1,1
2,6th, 2 hours 36 minutes 31 seconds,1,2
3,8th, 3 hours 36 minutes 41 seconds,1,3
4,9th, 3 hours 54 minutes 39 seconds,1,4
5,10th, 4 hours 3 minutes 44 seconds,1,5
6,13th, 5 hours 40 minutes 8 seconds,1,6
7,15th, 6 hours 31 minutes 26 seconds,1,7
8,16th, 6 hours 31 minutes 36 seconds,1,8
9,24th, 8 hours 49 minutes 45 seconds,2,9
10,27th, 10 hours 14 minutes 24 seconds,1,11
11,29th, 10 hours 29 minutes 52 seconds,1,12
12,31st, 10 hours 30 minutes 21 seconds,1,13
13,32nd, 10 hours 30 minutes 34 seconds,1,14
14,33rd, 10 hours 30 minutes 47 seconds,1,15
15,35th, 10 hours 55 minutes 18 seconds,1,16
16,36th, 10 hours 55 minutes 32 seconds,1,17
17,37th, 11 hours 19 minutes 48 seconds,1,18
18,41st, 11 hours 20 minutes 50 seconds,1,19
19,44th, 12 hours 34 minutes 52 seconds,1,20
20,46th, 12 hours 35 minutes 20 seconds,1,21
21,49th, 12 hours 36 minutes 1 seconds,1,22
22,51st, 12 hours 36 minutes 32 seconds,1,23
23,54th, 12 hours 37 minutes 19 seconds,1,24
24,55th, 13 hours 16 minutes 35 seconds,1,25
25,56th, 13 hours 16 minutes 49 seconds,1,26
26,62nd, 14 hours 12 minutes 24 seconds,2,27
27,63rd, 14 hours 12 minutes 41 seconds,1,29
28,65th, 14 hours 13 minutes 15 seconds,1,30
29,71st, 14 hours 15 minutes 1 seconds,1,31
30,72nd, 14 hours 30 minutes 20 seconds,1,32
31,74th, 15 hours 6 minutes 58 seconds,1,33
32,77th, 15 hours 22 minutes 57 seconds,1,34
33,80th, 15 hours 23 minutes 53 seconds,1,35
34,81st, 15 hours 24 minutes 13 seconds,1,36
35,82nd, 15 hours 24 minutes 34 seconds,1,37
36,83rd, 15 hours 24 minutes 56 seconds,1,38
37,86th, 15 hours 25 minutes 59 seconds,1,39
38,93rd, 15 hours 58 minutes 22 seconds,1,40
39,94th, 16 hours 22 minutes 44 seconds,2,41
40,96th, 16 hours 23 minutes 30 seconds,1,43
41,97th, 16 hours 23 minutes 54 seconds,1,44
42,101st, 16 hours 25 minutes 22 seconds,3,45
43,103rd, 16 hours 26 minutes 7 seconds,1,48
44,104th, 16 hours 26 minutes 30 seconds,1,49
45,105th, 16 hours 26 minutes 52 seconds,1,50
46,109th, 16 hours 43 minutes 22 seconds,1,51
47,114th, 16 hours 45 minutes 19 seconds,1,52
48,116th, 16 hours 46 minutes 6 seconds,1,53
49,124th, 17 hours 19 minutes 9 seconds,1,54
50,127th, 17 hours 21 minutes 30 seconds,1,55
51,132nd, 17 hours 23 minutes 34 seconds,1,56
52,136th, 17 hours 40 minutes 12 seconds,1,57
53,146th, 17 hours 45 minutes 49 seconds,2,58
54,149th, 17 hours 47 minutes 9 seconds,1,60
55,156th, 18 hours 8 minutes 13 seconds,1,61
56,158th, 18 hours 9 minutes 4 seconds,1,62
57,161st, 18 hours 10 minutes 21 seconds,1,63
58,162nd, 18 hours 22 minutes 48 seconds,1,64
59,164th, 18 hours 23 minutes 40 seconds,1,65
60,166th, 18 hours 24 minutes 32 seconds,1,66
61,167th, 18 hours 24 minutes 57 seconds,1,67
62,169th, 18 hours 30 minutes 32 seconds,1,68
63,175th, 18 hours 48 minutes 10 seconds,1,69
64,177th, 18 hours 49 minutes 1 seconds,1,70
65,179th, 18 hours 49 minutes 52 seconds,1,71
66,181st, 19 hours 14 minutes 43 seconds,1,72
67,188th, 19 hours 32 minutes 43 seconds,1,73
68,189th, 19 hours 33 minutes 9 seconds,2,74
69,192nd, 19 hours 43 minutes 25 seconds,2,76
70,194th, 19 hours 44 minutes 20 seconds,2,78
71,195th, 19 hours 44 minutes 48 seconds,1,80
72,198th, 19 hours 46 minutes 9 seconds,1,81
73,204th, 19 hours 48 minutes 47 seconds,1,82
74,207th, 19 hours 59 minutes 18 seconds,2,83
75,217th, 20 hours 49 minutes 28 seconds,1,85
76,218th, 20 hours 49 minutes 59 seconds,1,86
77,219th, 20 hours 50 minutes 32 seconds,1,87
78,220th, 20 hours 51 minutes 5 seconds,1,88
79,221st, 20 hours 51 minutes 36 seconds,1,89
80,222nd, 20 hours 52 minutes 8 seconds,1,90
81,226th, 20 hours 54 minutes 31 seconds,1,91
82,227th, 20 hours 55 minutes 7 seconds,1,92
83,231st, 21 hours 20 seconds,3,93
84,232nd, 21 hours 55 seconds,1,96
85,233rd, 21 hours 1 minutes 29 seconds,1,97
86,237th, 21 hours 3 minutes 44 seconds,1,98
87,240th, 21 hours 5 minutes 7 seconds,1,99
