,世代,時間,出力数,前世代までの合計
0,4th, 4 hours 45 minutes 20 seconds,1,0
1,9th, 6 hours 16 minutes 7 seconds,1,1
2,16th, 7 hours 5 minutes 22 seconds,1,2
3,21st, 7 hours 44 minutes 6 seconds,1,3
4,22nd, 8 hours 8 minutes 18 seconds,3,4
5,23rd, 8 hours 8 minutes 31 seconds,1,7
6,27th, 9 hours 27 minutes 24 seconds,1,8
7,31st, 9 hours 43 minutes 15 seconds,1,9
8,32nd, 10 hours 31 minutes 29 seconds,1,10
9,33rd, 10 hours 31 minutes 43 seconds,1,11
10,35th, 10 hours 32 minutes 10 seconds,1,12
11,36th, 10 hours 32 minutes 23 seconds,1,13
12,37th, 10 hours 56 minutes 37 seconds,1,14
13,38th, 10 hours 56 minutes 53 seconds,1,15
14,48th, 11 hours 5 minutes 28 seconds,1,16
15,49th, 11 hours 5 minutes 45 seconds,1,17
16,54th, 11 hours 49 minutes 12 seconds,1,18
17,57th, 12 hours 14 minutes 4 seconds,1,19
18,58th, 12 hours 38 minutes 23 seconds,3,20
19,62nd, 13 hours 3 minutes 34 seconds,1,23
20,67th, 13 hours 32 minutes 7 seconds,1,24
21,68th, 13 hours 50 minutes 25 seconds,1,25
22,70th, 13 hours 51 minutes 4 seconds,2,26
23,74th, 14 hours 37 minutes 20 seconds,1,28
24,80th, 15 hours 39 minutes 4 seconds,2,29
25,85th, 15 hours 40 minutes 45 seconds,2,31
26,88th, 15 hours 41 minutes 48 seconds,2,33
27,89th, 15 hours 51 minutes 1 seconds,1,35
28,90th, 15 hours 51 minutes 22 seconds,2,36
29,91st, 15 hours 51 minutes 41 seconds,2,38
30,92nd, 15 hours 52 minutes 1 seconds,1,40
31,112th, 16 hours 37 minutes 39 seconds,1,41
32,120th, 16 hours 40 minutes 20 seconds,1,42
33,123rd, 17 hours 26 minutes 6 seconds,1,43
34,124th, 18 hours 20 minutes 7 seconds,1,44
35,126th, 18 hours 47 minutes 40 seconds,1,45
36,130th, 20 hours 33 minutes 22 seconds,1,46
37,131st, 20 hours 33 minutes 43 seconds,1,47
38,135th, 20 hours 35 minutes 11 seconds,1,48
39,137th, 20 hours 37 minutes 5 seconds,1,49
40,141st, 20 hours 38 minutes 42 seconds,1,50
41,144th, 20 hours 39 minutes 54 seconds,1,51
42,154th, 20 hours 44 minutes 8 seconds,1,52
43,157th, 20 hours 45 minutes 24 seconds,1,53
44,171st, 21 hours 52 minutes 19 seconds,2,54
45,172nd, 21 hours 52 minutes 47 seconds,4,56
46,173rd, 22 hours 8 minutes 14 seconds,5,60
47,174th, 22 hours 8 minutes 42 seconds,2,65
48,175th, 22 hours 9 minutes 11 seconds,1,67
49,176th, 22 hours 9 minutes 38 seconds,2,68
50,178th, 22 hours 10 minutes 37 seconds,5,70
51,179th, 22 hours 20 minutes 2 seconds,1,75
52,180th, 22 hours 20 minutes 29 seconds,2,76
53,185th, 22 hours 22 minutes 53 seconds,2,78
54,186th, 23 hours 2 minutes 21 seconds,1,80
55,187th, 23 hours 2 minutes 50 seconds,3,81
56,192nd, 23 hours 5 minutes 15 seconds,1,84
57,194th, 23 hours 21 minutes 16 seconds,1,85
58,195th, 23 hours 21 minutes 46 seconds,1,86
59,196th, 23 hours 22 minutes 17 seconds,1,87
60,197th, 23 hours 22 minutes 49 seconds,1,88
61,198th, 23 hours 23 minutes 21 seconds,2,89
62,199th, 23 hours 23 minutes 50 seconds,1,91
63,204th, 23 hours 26 minutes 29 seconds,3,92
64,206th, 23 hours 27 minutes 33 seconds,2,95
65,208th, 23 hours 28 minutes 37 seconds,1,97
66,210th, 23 hours 29 minutes 38 seconds,1,98
67,213th, 23 hours 30 minutes 43 seconds,1,99
