,世代,時間,出力数,前世代までの合計
0,1st, 12 minutes 3 seconds,2,0
1,5th, 3 hours 9 minutes 26 seconds,3,2
2,6th, 3 hours 26 minutes 21 seconds,1,5
3,7th, 3 hours 26 minutes 28 seconds,1,6
4,12th, 3 hours 51 minutes 12 seconds,1,7
5,15th, 4 hours 9 minutes 44 seconds,2,8
6,18th, 5 hours 4 minutes 19 seconds,2,10
7,19th, 5 hours 28 minutes 30 seconds,1,12
8,21st, 5 hours 52 minutes 54 seconds,1,13
9,23rd, 5 hours 53 minutes 16 seconds,1,14
10,27th, 5 hours 54 minutes 8 seconds,1,15
11,28th, 5 hours 54 minutes 22 seconds,2,16
12,34th, 7 hours 24 minutes 9 seconds,2,18
13,37th, 7 hours 48 minutes 59 seconds,1,20
14,38th, 7 hours 49 minutes 15 seconds,1,21
15,39th, 7 hours 49 minutes 34 seconds,1,22
16,41st, 7 hours 50 minutes 8 seconds,1,23
17,42nd, 7 hours 50 minutes 24 seconds,1,24
18,45th, 7 hours 51 minutes 16 seconds,1,25
19,47th, 8 hours 18 minutes 53 seconds,1,26
20,48th, 8 hours 19 minutes 13 seconds,2,27
21,50th, 8 hours 19 minutes 49 seconds,3,29
22,52nd, 8 hours 35 minutes 26 seconds,1,32
23,56th, 8 hours 48 minutes 38 seconds,2,33
24,58th, 9 hours 19 minutes 16 seconds,2,35
25,59th, 9 hours 19 minutes 35 seconds,1,37
26,60th, 9 hours 19 minutes 54 seconds,1,38
27,67th, 9 hours 22 minutes 16 seconds,1,39
28,71st, 9 hours 38 minutes 38 seconds,2,40
29,72nd, 9 hours 38 minutes 57 seconds,1,42
30,82nd, 11 hours 13 minutes 40 seconds,3,43
31,87th, 11 hours 40 minutes 41 seconds,1,46
32,92nd, 12 hours 7 minutes 49 seconds,1,47
33,93rd, 12 hours 8 minutes 13 seconds,2,48
34,95th, 12 hours 23 minutes 59 seconds,2,50
35,105th, 13 hours 36 minutes 58 seconds,2,52
36,106th, 13 hours 37 minutes 21 seconds,1,54
37,107th, 13 hours 37 minutes 46 seconds,2,55
38,108th, 13 hours 59 minutes 9 seconds,1,57
39,110th, 13 hours 59 minutes 56 seconds,1,58
40,115th, 14 hours 16 minutes 53 seconds,1,59
41,116th, 14 hours 17 minutes 17 seconds,1,60
42,119th, 14 hours 18 minutes 28 seconds,1,61
43,120th, 14 hours 18 minutes 50 seconds,1,62
44,124th, 14 hours 44 minutes 29 seconds,1,63
45,135th, 15 hours 52 minutes 24 seconds,1,64
46,136th, 15 hours 52 minutes 53 seconds,3,65
47,137th, 15 hours 53 minutes 22 seconds,1,68
48,138th, 15 hours 53 minutes 51 seconds,1,69
49,140th, 16 hours 12 minutes 46 seconds,2,70
50,152nd, 17 hours 30 minutes 41 seconds,2,72
51,153rd, 17 hours 31 minutes 11 seconds,1,74
52,154th, 17 hours 46 minutes 43 seconds,1,75
53,155th, 17 hours 47 minutes 15 seconds,1,76
54,160th, 17 hours 58 minutes 49 seconds,1,77
55,162nd, 17 hours 59 minutes 53 seconds,1,78
56,163rd, 18 hours 24 seconds,1,79
57,164th, 18 hours 57 seconds,1,80
58,165th, 18 hours 1 minutes 31 seconds,1,81
59,166th, 18 hours 2 minutes 4 seconds,1,82
60,174th, 18 hours 45 minutes 20 seconds,1,83
61,175th, 18 hours 45 minutes 52 seconds,1,84
62,176th, 18 hours 46 minutes 23 seconds,2,85
63,177th, 18 hours 46 minutes 55 seconds,1,87
64,178th, 19 hours 2 minutes 26 seconds,3,88
65,179th, 19 hours 2 minutes 55 seconds,1,91
66,183rd, 19 hours 5 minutes 9 seconds,2,92
67,185th, 19 hours 6 minutes 16 seconds,1,94
68,186th, 19 hours 6 minutes 49 seconds,1,95
69,189th, 19 hours 20 minutes 29 seconds,1,96
70,194th, 19 hours 59 minutes 9 seconds,1,97
71,198th, 20 hours 1 minutes 7 seconds,2,98
