,nloc_o,ccn_o,token_o,parameter_o,length_o,filename,nloc_r,ccn_r,token_r,parameter_r,length_r,repairLines
0,69,18,430,19,75,org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,69,18,439,19,75,24
1,90,25,493,25,91,org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,94,25,517,25,95,24
2,14,4,58,3,14,org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,14,4,58,3,14,24
3,39,8,240,1,55,org.apache.commons.math.distribution.AbstractContinuousDistribution.java,39,8,240,1,55,24
4,82,22,426,10,88,org.apache.commons.math.distribution.NormalDistributionImpl.java,83,22,432,10,89,24
5,109,34,859,15,143,org.apache.commons.math.special.Gamma.java,109,31,833,15,143,24
6,56,17,372,13,64,org.apache.commons.math.MathException.java,55,17,367,13,63,24
