,世代,時間,出力数,前世代までの合計
0,6th, 36 minutes 47 seconds,1,0
1,14th, 2 hours 20 minutes 29 seconds,1,1
2,17th, 3 hours 10 minutes 21 seconds,2,2
3,19th, 3 hours 49 minutes 27 seconds,1,4
4,20th, 4 hours 4 minutes 53 seconds,1,5
5,21st, 4 hours 22 minutes 34 seconds,2,6
6,23rd, 5 hours 3 minutes 35 seconds,1,8
7,26th, 6 hours 58 seconds,1,9
8,27th, 6 hours 16 minutes 9 seconds,1,10
9,28th, 6 hours 40 minutes 2 seconds,5,11
10,29th, 6 hours 55 minutes 40 seconds,3,16
11,30th, 7 hours 10 minutes 52 seconds,1,19
12,31st, 7 hours 32 minutes 6 seconds,1,20
13,32nd, 7 hours 50 minutes 32 seconds,1,21
14,33rd, 8 hours 7 minutes 52 seconds,1,22
15,34th, 8 hours 27 minutes 21 seconds,1,23
16,35th, 8 hours 47 minutes 37 seconds,3,24
17,36th, 9 hours 7 minutes 58 seconds,7,27
18,37th, 9 hours 32 minutes 19 seconds,1,34
19,38th, 10 hours 1 minutes 38 seconds,2,35
20,39th, 10 hours 19 minutes 26 seconds,2,37
21,40th, 10 hours 40 minutes 47 seconds,2,39
22,41st, 11 hours 4 minutes 53 seconds,4,41
23,42nd, 11 hours 24 minutes 17 seconds,3,45
24,43rd, 11 hours 45 minutes 36 seconds,4,48
25,44th, 12 hours 7 minutes 12 seconds,4,52
26,45th, 12 hours 26 minutes 58 seconds,7,56
27,46th, 12 hours 46 minutes 55 seconds,4,63
28,47th, 13 hours 9 minutes 25 seconds,2,67
29,48th, 13 hours 29 minutes 39 seconds,3,69
30,49th, 13 hours 47 minutes 2 seconds,2,72
31,50th, 14 hours 6 minutes 4 seconds,4,74
32,51st, 14 hours 24 minutes 53 seconds,7,78
33,52nd, 14 hours 42 minutes 30 seconds,1,85
34,53rd, 14 hours 59 minutes 5 seconds,6,86
35,54th, 15 hours 16 minutes 11 seconds,3,92
36,55th, 15 hours 30 minutes 5 seconds,1,95
37,57th, 16 hours 1 minutes 0 seconds,3,96
38,58th, 16 hours 1 minutes 30 seconds,1,99
