,世代,時間,出力数,前世代までの合計
0,8th, 1 hours 22 minutes 24 seconds,1,0
1,13th, 3 hours 11 minutes 1 seconds,1,1
2,17th, 4 hours 29 minutes 49 seconds,1,2
3,18th, 5 hours 6 seconds,1,3
4,22nd, 6 hours 21 minutes 47 seconds,1,4
5,36th, 11 hours 28 minutes 5 seconds,1,5
6,37th, 11 hours 51 minutes 47 seconds,1,6
7,38th, 12 hours 17 minutes 43 seconds,1,7
8,40th, 13 hours 5 minutes 3 seconds,2,8
9,47th, 16 hours 17 minutes 20 seconds,1,10
10,48th, 16 hours 41 minutes 15 seconds,2,11
11,50th, 17 hours 27 minutes 14 seconds,1,13
12,51st, 17 hours 53 minutes 25 seconds,2,14
13,53rd, 18 hours 41 minutes 56 seconds,1,16
14,55th, 19 hours 34 minutes 0 seconds,1,17
15,56th, 19 hours 58 minutes 45 seconds,1,18
16,57th, 20 hours 24 minutes 7 seconds,2,19
17,58th, 20 hours 51 minutes 48 seconds,4,21
18,60th, 21 hours 46 minutes 3 seconds,1,25
19,61st, 22 hours 13 minutes 33 seconds,1,26
20,63rd, 23 hours 26 seconds,1,27
