,世代,時間,出力数,前世代までの合計
0,4th, 14 minutes 40 seconds,1,0
1,5th, 24 minutes 55 seconds,1,1
2,6th, 36 minutes 14 seconds,2,2
3,7th, 46 minutes 2 seconds,2,4
4,8th, 55 minutes 30 seconds,3,6
5,9th, 1 hours 6 minutes 4 seconds,4,9
6,11th, 1 hours 30 minutes 14 seconds,3,13
7,14th, 2 hours 9 minutes 35 seconds,1,16
8,15th, 2 hours 28 minutes 35 seconds,1,17
9,16th, 2 hours 47 minutes 9 seconds,1,18
10,17th, 3 hours 17 minutes 38 seconds,1,19
11,18th, 3 hours 37 minutes 11 seconds,2,20
12,19th, 3 hours 56 minutes 52 seconds,3,22
13,20th, 4 hours 23 minutes 25 seconds,1,25
14,24th, 5 hours 48 minutes 46 seconds,1,26
15,25th, 6 hours 14 minutes 47 seconds,5,27
16,26th, 6 hours 38 minutes 43 seconds,2,32
17,27th, 7 hours 1 minutes 5 seconds,2,34
18,28th, 7 hours 24 minutes 39 seconds,1,36
19,29th, 7 hours 46 minutes 19 seconds,1,37
20,32nd, 8 hours 59 minutes 20 seconds,1,38
21,37th, 11 hours 6 minutes 26 seconds,1,39
22,42nd, 13 hours 16 minutes 29 seconds,1,40
23,47th, 15 hours 5 minutes 34 seconds,1,41
24,48th, 15 hours 24 minutes 29 seconds,1,42
25,56th, 18 hours 28 minutes 4 seconds,1,43
26,59th, 19 hours 48 minutes 35 seconds,1,44
27,62nd, 20 hours 51 minutes 33 seconds,1,45
28,64th, 21 hours 32 minutes 22 seconds,3,46
29,70th, 23 hours 22 minutes 51 seconds,2,49
30,71st, 23 hours 44 minutes 11 seconds,2,51
31,72nd, 24 hours 7 minutes 1 seconds,1,53
