,世代,時間,出力数,前世代までの合計
0,1st, 1 minutes 28 seconds,1,0
1,3rd, 28 minutes 15 seconds,1,1
2,4th, 50 minutes 22 seconds,1,2
3,5th, 1 hours 44 seconds,1,3
4,6th, 1 hours 30 minutes 4 seconds,1,4
5,23rd, 6 hours 22 minutes 21 seconds,4,5
6,24th, 6 hours 43 minutes 58 seconds,1,9
7,25th, 7 hours 3 minutes 57 seconds,3,10
8,26th, 7 hours 31 minutes 29 seconds,1,13
9,28th, 8 hours 15 minutes 38 seconds,4,14
10,29th, 8 hours 35 minutes 44 seconds,4,18
11,30th, 9 hours 2 minutes 4 seconds,2,22
12,31st, 9 hours 19 minutes 56 seconds,1,24
13,33rd, 10 hours 39 seconds,4,25
14,34th, 10 hours 20 minutes 14 seconds,3,29
15,35th, 10 hours 44 minutes 45 seconds,5,32
16,36th, 11 hours 5 minutes 34 seconds,3,37
17,37th, 11 hours 28 minutes 26 seconds,4,40
18,39th, 12 hours 11 minutes 47 seconds,1,44
19,40th, 12 hours 32 minutes 51 seconds,1,45
20,41st, 12 hours 52 minutes 20 seconds,1,46
21,42nd, 13 hours 16 minutes 18 seconds,2,47
22,43rd, 13 hours 34 minutes 15 seconds,2,49
23,44th, 13 hours 58 minutes 28 seconds,1,51
24,45th, 14 hours 20 minutes 55 seconds,2,52
25,46th, 14 hours 47 minutes 15 seconds,4,54
26,47th, 15 hours 11 minutes 2 seconds,3,58
27,48th, 15 hours 32 minutes 41 seconds,7,61
28,49th, 15 hours 57 minutes 7 seconds,2,68
29,50th, 16 hours 22 minutes 12 seconds,7,70
30,51st, 16 hours 45 minutes 31 seconds,1,77
31,52nd, 17 hours 12 minutes 54 seconds,2,78
32,55th, 18 hours 35 minutes 43 seconds,2,80
33,56th, 18 hours 59 minutes 42 seconds,1,82
34,57th, 19 hours 23 minutes 3 seconds,1,83
35,60th, 20 hours 31 minutes 36 seconds,1,84
36,61st, 20 hours 58 minutes 55 seconds,1,85
37,65th, 22 hours 40 minutes 18 seconds,3,86
38,66th, 23 hours 4 minutes 6 seconds,1,89
