,世代,時間,出力数,前世代までの合計
0,3rd, 15 seconds,2,0
1,4th, 22 seconds,1,2
2,8th, 1 minutes 7 seconds,3,3
3,9th, 1 minutes 20 seconds,1,6
4,10th, 1 minutes 26 seconds,1,7
5,11th, 1 minutes 30 seconds,2,8
6,12th, 1 minutes 35 seconds,2,10
7,13th, 1 minutes 41 seconds,3,12
8,14th, 1 minutes 46 seconds,4,15
9,15th, 1 minutes 53 seconds,2,19
10,16th, 1 minutes 58 seconds,1,21
11,34th, 4 minutes 15 seconds,3,22
12,40th, 5 minutes 5 seconds,1,25
13,49th, 6 minutes 16 seconds,1,26
14,50th, 6 minutes 25 seconds,3,27
15,51st, 6 minutes 32 seconds,1,30
16,55th, 7 minutes 4 seconds,1,31
17,68th, 8 minutes 54 seconds,1,32
18,69th, 9 minutes 4 seconds,1,33
19,87th, 11 minutes 56 seconds,1,34
20,110th, 15 minutes 39 seconds,1,35
21,113th, 16 minutes 8 seconds,1,36
22,135th, 20 minutes 0 seconds,1,37
23,138th, 20 minutes 34 seconds,2,38
24,139th, 20 minutes 46 seconds,2,40
25,140th, 20 minutes 58 seconds,2,42
26,147th, 22 minutes 20 seconds,1,44
27,155th, 23 minutes 56 seconds,1,45
28,162nd, 25 minutes 19 seconds,1,46
29,167th, 26 minutes 21 seconds,1,47
30,172nd, 27 minutes 25 seconds,1,48
31,175th, 28 minutes 2 seconds,1,49
32,177th, 28 minutes 27 seconds,1,50
33,180th, 29 minutes 4 seconds,2,51
34,184th, 29 minutes 56 seconds,1,53
35,189th, 31 minutes 0 seconds,1,54
36,196th, 32 minutes 35 seconds,1,55
37,222nd, 38 minutes 47 seconds,1,56
38,224th, 39 minutes 17 seconds,2,57
39,232nd, 41 minutes 12 seconds,1,59
40,233rd, 41 minutes 26 seconds,1,60
41,243rd, 43 minutes 56 seconds,1,61
42,244th, 44 minutes 12 seconds,1,62
43,247th, 44 minutes 58 seconds,1,63
44,251st, 46 minutes 6 seconds,1,64
45,256th, 47 minutes 27 seconds,1,65
46,257th, 47 minutes 43 seconds,1,66
47,264th, 49 minutes 37 seconds,1,67
48,274th, 52 minutes 26 seconds,1,68
49,286th, 55 minutes 45 seconds,1,69
50,291st, 57 minutes 9 seconds,1,70
51,298th, 59 minutes 21 seconds,1,71
52,307th, 1 hours 2 minutes 11 seconds,1,72
53,309th, 1 hours 2 minutes 49 seconds,1,73
54,312th, 1 hours 3 minutes 45 seconds,1,74
55,323rd, 1 hours 7 minutes 11 seconds,1,75
56,332nd, 1 hours 10 minutes 10 seconds,2,76
57,337th, 1 hours 11 minutes 47 seconds,1,78
58,341st, 1 hours 13 minutes 0 seconds,1,79
59,342nd, 1 hours 13 minutes 17 seconds,1,80
60,352nd, 1 hours 16 minutes 24 seconds,1,81
61,354th, 1 hours 17 minutes 4 seconds,1,82
62,359th, 1 hours 18 minutes 36 seconds,1,83
63,367th, 1 hours 21 minutes 5 seconds,1,84
64,372nd, 1 hours 22 minutes 48 seconds,1,85
65,373rd, 1 hours 23 minutes 10 seconds,2,86
66,374th, 1 hours 23 minutes 32 seconds,1,88
67,390th, 1 hours 29 minutes 9 seconds,1,89
68,391st, 1 hours 29 minutes 30 seconds,1,90
69,394th, 1 hours 30 minutes 33 seconds,1,91
70,397th, 1 hours 31 minutes 37 seconds,1,92
71,404th, 1 hours 34 minutes 12 seconds,1,93
72,405th, 1 hours 34 minutes 33 seconds,1,94
73,409th, 1 hours 35 minutes 57 seconds,1,95
74,412th, 1 hours 36 minutes 59 seconds,1,96
75,416th, 1 hours 38 minutes 17 seconds,1,97
76,432nd, 1 hours 43 minutes 52 seconds,1,98
77,441st, 1 hours 46 minutes 37 seconds,1,99
