,世代,時間,出力数,前世代までの合計
0,1st, 4 seconds,1,0
1,3rd, 16 seconds,3,1
2,4th, 23 seconds,2,4
3,5th, 29 seconds,3,6
4,6th, 34 seconds,1,9
5,7th, 39 seconds,2,10
6,8th, 43 seconds,5,12
7,9th, 48 seconds,2,17
8,10th, 53 seconds,1,19
9,11th, 1 minutes 1 seconds,2,20
10,12th, 1 minutes 4 seconds,2,22
11,13th, 1 minutes 8 seconds,2,24
12,14th, 1 minutes 13 seconds,3,26
13,15th, 1 minutes 18 seconds,3,29
14,16th, 1 minutes 23 seconds,2,32
15,17th, 1 minutes 28 seconds,1,34
16,18th, 1 minutes 34 seconds,1,35
17,19th, 1 minutes 41 seconds,1,36
18,26th, 2 minutes 35 seconds,2,37
19,45th, 5 minutes 20 seconds,1,39
20,49th, 5 minutes 56 seconds,2,40
21,52nd, 6 minutes 23 seconds,1,42
22,65th, 8 minutes 21 seconds,1,43
23,73rd, 9 minutes 40 seconds,2,44
24,83rd, 11 minutes 16 seconds,1,46
25,96th, 13 minutes 38 seconds,1,47
26,125th, 18 minutes 59 seconds,1,48
27,142nd, 22 minutes 26 seconds,1,49
28,146th, 23 minutes 14 seconds,1,50
29,148th, 23 minutes 37 seconds,1,51
30,153rd, 24 minutes 35 seconds,1,52
31,157th, 25 minutes 23 seconds,1,53
32,163rd, 26 minutes 42 seconds,1,54
33,166th, 27 minutes 21 seconds,1,55
34,172nd, 28 minutes 47 seconds,1,56
35,181st, 30 minutes 49 seconds,1,57
36,185th, 31 minutes 44 seconds,1,58
37,188th, 32 minutes 23 seconds,1,59
38,201st, 35 minutes 18 seconds,1,60
39,203rd, 35 minutes 45 seconds,1,61
40,218th, 38 minutes 57 seconds,1,62
41,223rd, 40 minutes 8 seconds,1,63
42,225th, 40 minutes 41 seconds,1,64
43,235th, 43 minutes 16 seconds,1,65
44,241st, 44 minutes 51 seconds,1,66
45,246th, 46 minutes 10 seconds,1,67
46,269th, 52 minutes 29 seconds,1,68
47,275th, 54 minutes 6 seconds,1,69
48,286th, 57 minutes 9 seconds,1,70
49,315th, 1 hours 5 minutes 54 seconds,1,71
50,328th, 1 hours 9 minutes 53 seconds,1,72
51,341st, 1 hours 13 minutes 58 seconds,1,73
52,345th, 1 hours 15 minutes 16 seconds,1,74
53,346th, 1 hours 15 minutes 36 seconds,1,75
54,347th, 1 hours 15 minutes 56 seconds,1,76
55,361st, 1 hours 20 minutes 12 seconds,1,77
56,397th, 1 hours 32 minutes 13 seconds,1,78
57,406th, 1 hours 35 minutes 21 seconds,1,79
58,418th, 1 hours 39 minutes 40 seconds,1,80
59,437th, 1 hours 46 minutes 57 seconds,1,81
60,456th, 1 hours 54 minutes 26 seconds,1,82
61,461st, 1 hours 56 minutes 23 seconds,1,83
62,479th, 2 hours 3 minutes 28 seconds,1,84
