,世代,時間,出力数,前世代までの合計
0,3rd, 24 seconds,1,0
1,5th, 44 seconds,1,1
2,7th, 1 minutes 0 seconds,2,2
3,9th, 1 minutes 10 seconds,1,4
4,10th, 1 minutes 15 seconds,4,5
5,11th, 1 minutes 19 seconds,1,9
6,13th, 1 minutes 28 seconds,1,10
7,14th, 1 minutes 34 seconds,1,11
8,15th, 1 minutes 40 seconds,1,12
9,17th, 1 minutes 49 seconds,1,13
10,18th, 1 minutes 56 seconds,1,14
11,27th, 3 minutes 5 seconds,3,15
12,28th, 3 minutes 11 seconds,1,18
13,29th, 3 minutes 19 seconds,2,19
14,45th, 5 minutes 42 seconds,1,21
15,50th, 6 minutes 25 seconds,1,22
16,56th, 7 minutes 20 seconds,1,23
17,64th, 8 minutes 36 seconds,1,24
18,79th, 10 minutes 58 seconds,1,25
19,95th, 13 minutes 48 seconds,1,26
20,96th, 14 minutes 0 seconds,1,27
21,99th, 14 minutes 36 seconds,1,28
22,103rd, 15 minutes 24 seconds,1,29
23,108th, 16 minutes 23 seconds,1,30
24,139th, 22 minutes 35 seconds,1,31
25,147th, 24 minutes 14 seconds,1,32
26,152nd, 25 minutes 31 seconds,1,33
27,153rd, 25 minutes 46 seconds,1,34
28,160th, 27 minutes 33 seconds,1,35
29,168th, 29 minutes 46 seconds,1,36
30,179th, 32 minutes 46 seconds,1,37
31,186th, 34 minutes 39 seconds,1,38
32,193rd, 36 minutes 37 seconds,1,39
33,200th, 38 minutes 44 seconds,1,40
34,209th, 41 minutes 37 seconds,1,41
35,216th, 43 minutes 49 seconds,1,42
36,238th, 50 minutes 24 seconds,1,43
37,243rd, 51 minutes 55 seconds,1,44
38,252nd, 55 minutes 13 seconds,1,45
39,253rd, 55 minutes 35 seconds,1,46
40,254th, 55 minutes 55 seconds,2,47
41,255th, 56 minutes 14 seconds,2,49
42,256th, 56 minutes 35 seconds,1,51
43,257th, 56 minutes 56 seconds,1,52
44,258th, 57 minutes 18 seconds,2,53
45,259th, 57 minutes 38 seconds,1,55
46,260th, 57 minutes 58 seconds,2,56
47,261st, 58 minutes 24 seconds,1,58
48,268th, 1 hours 1 minutes 3 seconds,1,59
49,279th, 1 hours 5 minutes 3 seconds,1,60
50,280th, 1 hours 5 minutes 23 seconds,1,61
51,283rd, 1 hours 6 minutes 40 seconds,1,62
52,290th, 1 hours 9 minutes 31 seconds,1,63
53,300th, 1 hours 13 minutes 21 seconds,1,64
54,304th, 1 hours 14 minutes 53 seconds,1,65
55,306th, 1 hours 15 minutes 35 seconds,1,66
56,308th, 1 hours 16 minutes 26 seconds,2,67
57,318th, 1 hours 20 minutes 24 seconds,1,69
58,327th, 1 hours 23 minutes 37 seconds,1,70
59,336th, 1 hours 26 minutes 50 seconds,1,71
60,338th, 1 hours 27 minutes 35 seconds,2,72
61,340th, 1 hours 28 minutes 22 seconds,1,74
62,341st, 1 hours 28 minutes 48 seconds,1,75
63,355th, 1 hours 35 minutes 33 seconds,1,76
64,356th, 1 hours 35 minutes 59 seconds,1,77
65,388th, 1 hours 49 minutes 12 seconds,1,78
66,390th, 1 hours 50 minutes 1 seconds,1,79
67,420th, 2 hours 3 minutes 18 seconds,1,80
68,441st, 2 hours 13 minutes 29 seconds,1,81
69,449th, 2 hours 17 minutes 29 seconds,1,82
70,476th, 2 hours 31 minutes 11 seconds,1,83
71,482nd, 2 hours 34 minutes 17 seconds,1,84
72,500th, 2 hours 43 minutes 34 seconds,1,85
