,世代,時間,出力数,前世代までの合計
0,1st, 35 seconds,2,0
1,2nd, 1 minutes 18 seconds,2,2
2,3rd, 8 minutes 38 seconds,1,4
3,4th, 37 minutes 1 seconds,3,5
4,5th, 56 minutes 19 seconds,1,8
5,7th, 1 hours 44 minutes 6 seconds,1,9
6,9th, 2 hours 8 minutes 38 seconds,1,10
7,10th, 2 hours 40 minutes 16 seconds,2,11
8,11th, 3 hours 9 minutes 0 seconds,5,13
9,12th, 3 hours 16 minutes 47 seconds,1,18
10,13th, 3 hours 24 minutes 33 seconds,1,19
11,14th, 3 hours 59 minutes 20 seconds,1,20
12,15th, 4 hours 13 minutes 13 seconds,2,21
13,16th, 5 hours 2 minutes 58 seconds,1,23
14,17th, 5 hours 16 minutes 50 seconds,1,24
15,18th, 6 hours 12 minutes 44 seconds,1,25
16,19th, 6 hours 32 minutes 31 seconds,3,26
17,25th, 8 hours 52 minutes 48 seconds,1,29
18,26th, 9 hours 55 seconds,1,30
19,27th, 9 hours 8 minutes 54 seconds,2,31
20,28th, 9 hours 14 minutes 15 seconds,1,33
21,29th, 9 hours 46 minutes 14 seconds,2,34
22,30th, 10 hours 8 minutes 59 seconds,2,36
23,31st, 10 hours 31 minutes 53 seconds,1,38
24,33rd, 11 hours 17 minutes 30 seconds,1,39
25,34th, 11 hours 28 minutes 17 seconds,2,40
26,35th, 11 hours 45 minutes 10 seconds,1,42
27,37th, 12 hours 39 minutes 55 seconds,1,43
28,38th, 13 hours 8 minutes 45 seconds,1,44
29,39th, 13 hours 40 minutes 38 seconds,3,45
30,40th, 14 hours 36 minutes 31 seconds,1,48
31,41st, 15 hours 17 minutes 19 seconds,5,49
32,42nd, 15 hours 40 minutes 11 seconds,2,54
33,43rd, 16 hours 18 minutes 13 seconds,2,56
34,44th, 16 hours 38 minutes 11 seconds,2,58
35,45th, 17 hours 13 minutes 9 seconds,2,60
36,46th, 17 hours 54 minutes 4 seconds,3,62
37,47th, 18 hours 28 minutes 58 seconds,3,65
38,48th, 19 hours 13 minutes 2 seconds,4,68
39,49th, 20 hours 11 minutes 56 seconds,2,72
40,50th, 21 hours 1 minutes 57 seconds,3,74
41,51st, 22 hours 6 minutes 52 seconds,5,77
42,52nd, 22 hours 53 minutes 51 seconds,4,82
43,54th, 25 hours 9 minutes 37 seconds,1,86
