,世代,時間,出力数,前世代までの合計
0,3rd, 26 minutes 59 seconds,3,0
1,7th, 2 hours 8 minutes 8 seconds,1,3
2,8th, 2 hours 33 minutes 33 seconds,2,4
3,9th, 3 hours 11 minutes 13 seconds,1,6
4,10th, 3 hours 46 minutes 11 seconds,4,7
5,11th, 4 hours 20 minutes 52 seconds,2,11
6,12th, 4 hours 52 minutes 35 seconds,4,13
7,13th, 5 hours 30 minutes 16 seconds,1,17
8,14th, 6 hours 52 minutes 59 seconds,4,18
9,15th, 7 hours 33 minutes 40 seconds,3,22
10,17th, 9 hours 21 minutes 58 seconds,1,25
11,18th, 9 hours 41 minutes 37 seconds,2,26
12,19th, 10 hours 28 minutes 20 seconds,1,28
13,20th, 11 hours 42 minutes 3 seconds,4,29
14,21st, 12 hours 13 minutes 51 seconds,6,33
15,22nd, 12 hours 45 minutes 36 seconds,2,39
16,23rd, 13 hours 2 minutes 21 seconds,1,41
17,24th, 13 hours 22 minutes 11 seconds,2,42
18,25th, 13 hours 47 minutes 59 seconds,3,44
19,26th, 14 hours 37 minutes 45 seconds,5,47
20,29th, 15 hours 55 minutes 3 seconds,3,52
21,31st, 16 hours 37 minutes 42 seconds,1,55
22,32nd, 16 hours 57 minutes 38 seconds,3,56
23,34th, 18 hours 16 minutes 20 seconds,2,59
24,37th, 19 hours 46 minutes 13 seconds,1,61
25,39th, 20 hours 26 minutes 2 seconds,2,62
26,40th, 20 hours 42 minutes 57 seconds,2,64
27,41st, 20 hours 50 minutes 54 seconds,1,66
28,42nd, 21 hours 13 minutes 53 seconds,3,67
29,43rd, 21 hours 36 minutes 48 seconds,5,70
30,44th, 21 hours 59 minutes 51 seconds,2,75
31,45th, 22 hours 19 minutes 58 seconds,1,77
32,47th, 22 hours 45 minutes 23 seconds,1,78
33,49th, 23 hours 55 minutes 27 seconds,3,79
34,50th, 24 hours 27 minutes 27 seconds,2,82
35,51st, 24 hours 59 minutes 22 seconds,6,84
36,52nd, 25 hours 25 minutes 18 seconds,3,90
37,53rd, 25 hours 57 minutes 18 seconds,3,93
38,54th, 26 hours 14 minutes 14 seconds,2,96
39,55th, 26 hours 17 minutes 47 seconds,2,98
