,世代,時間,出力数,前世代までの合計
0,1st, 15 seconds,1,0
1,3rd, 47 seconds,1,1
2,4th, 1 minutes 6 seconds,1,2
3,5th, 1 minutes 26 seconds,3,3
4,6th, 1 minutes 46 seconds,6,6
5,7th, 2 minutes 1 seconds,2,12
6,8th, 2 minutes 18 seconds,4,14
7,9th, 2 minutes 35 seconds,3,18
8,10th, 2 minutes 59 seconds,4,21
9,11th, 3 minutes 20 seconds,6,25
10,12th, 3 minutes 42 seconds,1,31
11,13th, 4 minutes 12 seconds,3,32
12,14th, 4 minutes 40 seconds,5,35
13,15th, 5 minutes 6 seconds,2,40
14,16th, 5 minutes 36 seconds,2,42
15,17th, 6 minutes 7 seconds,1,44
16,18th, 6 minutes 37 seconds,2,45
17,19th, 7 minutes 11 seconds,3,47
18,20th, 7 minutes 42 seconds,4,50
19,21st, 8 minutes 18 seconds,4,54
20,22nd, 8 minutes 52 seconds,2,58
21,25th, 10 minutes 28 seconds,1,60
22,27th, 11 minutes 27 seconds,1,61
23,28th, 11 minutes 57 seconds,2,62
24,31st, 13 minutes 26 seconds,2,64
25,32nd, 13 minutes 56 seconds,1,66
26,34th, 14 minutes 54 seconds,1,67
27,38th, 17 minutes 0 seconds,1,68
28,39th, 17 minutes 33 seconds,1,69
29,40th, 18 minutes 3 seconds,1,70
30,52nd, 25 minutes 34 seconds,4,71
31,54th, 26 minutes 56 seconds,2,75
32,56th, 28 minutes 25 seconds,2,77
33,57th, 29 minutes 2 seconds,1,79
34,59th, 30 minutes 22 seconds,2,80
35,60th, 31 minutes 2 seconds,1,82
36,62nd, 32 minutes 22 seconds,1,83
37,63rd, 33 minutes 4 seconds,3,84
38,67th, 35 minutes 54 seconds,1,87
39,71st, 38 minutes 56 seconds,1,88
40,74th, 41 minutes 14 seconds,2,89
41,76th, 42 minutes 42 seconds,1,91
42,79th, 44 minutes 58 seconds,1,92
43,84th, 48 minutes 37 seconds,1,93
44,85th, 49 minutes 18 seconds,1,94
45,88th, 51 minutes 28 seconds,1,95
46,91st, 53 minutes 47 seconds,1,96
47,96th, 57 minutes 33 seconds,2,97
48,99th, 59 minutes 12 seconds,1,99
