,世代,時間,出力数,前世代までの合計
0,1st, 15 seconds,2,0
1,2nd, 37 seconds,1,2
2,3rd, 1 minutes 28 seconds,1,3
3,4th, 1 minutes 47 seconds,3,4
4,6th, 2 minutes 31 seconds,1,7
5,7th, 2 minutes 52 seconds,1,8
6,8th, 3 minutes 11 seconds,1,9
7,9th, 3 minutes 36 seconds,6,10
8,10th, 3 minutes 58 seconds,5,16
9,11th, 4 minutes 25 seconds,3,21
10,12th, 4 minutes 54 seconds,5,24
11,13th, 5 minutes 27 seconds,1,29
12,14th, 5 minutes 59 seconds,1,30
13,15th, 6 minutes 30 seconds,1,31
14,23rd, 10 minutes 59 seconds,1,32
15,25th, 12 minutes 13 seconds,1,33
16,27th, 13 minutes 28 seconds,1,34
17,28th, 14 minutes 8 seconds,3,35
18,31st, 15 minutes 55 seconds,1,38
19,33rd, 17 minutes 13 seconds,1,39
20,35th, 18 minutes 38 seconds,1,40
21,36th, 19 minutes 24 seconds,2,41
22,37th, 20 minutes 9 seconds,2,43
23,43rd, 24 minutes 57 seconds,2,45
24,44th, 25 minutes 45 seconds,1,47
25,48th, 29 minutes 0 seconds,1,48
26,49th, 29 minutes 46 seconds,2,49
27,50th, 30 minutes 34 seconds,1,51
28,51st, 31 minutes 22 seconds,8,52
29,52nd, 32 minutes 12 seconds,3,60
30,53rd, 33 minutes 0 seconds,1,63
31,54th, 33 minutes 53 seconds,1,64
32,55th, 34 minutes 49 seconds,1,65
33,56th, 35 minutes 39 seconds,1,66
34,58th, 37 minutes 29 seconds,1,67
35,59th, 38 minutes 25 seconds,2,68
36,60th, 39 minutes 18 seconds,1,70
37,61st, 40 minutes 17 seconds,1,71
38,75th, 52 minutes 31 seconds,1,72
39,77th, 54 minutes 13 seconds,3,73
40,78th, 55 minutes 5 seconds,1,76
41,79th, 56 minutes 1 seconds,3,77
42,80th, 56 minutes 56 seconds,4,80
43,81st, 57 minutes 58 seconds,1,84
44,83rd, 59 minutes 54 seconds,3,85
45,84th, 1 hours 47 seconds,1,88
46,85th, 1 hours 1 minutes 42 seconds,2,89
47,88th, 1 hours 4 minutes 44 seconds,1,91
48,89th, 1 hours 5 minutes 41 seconds,1,92
49,92nd, 1 hours 8 minutes 40 seconds,1,93
50,93rd, 1 hours 9 minutes 40 seconds,1,94
51,94th, 1 hours 10 minutes 40 seconds,1,95
52,99th, 1 hours 15 minutes 28 seconds,1,96
53,101st, 1 hours 17 minutes 39 seconds,1,97
54,104th, 1 hours 20 minutes 36 seconds,1,98
55,110th, 1 hours 25 minutes 52 seconds,1,99
