,世代,時間,出力数,前世代までの合計
0,1st, 14 seconds,1,0
1,3rd, 44 seconds,2,1
2,4th, 1 minutes 3 seconds,3,3
3,5th, 1 minutes 26 seconds,6,6
4,6th, 1 minutes 50 seconds,2,12
5,7th, 2 minutes 9 seconds,7,14
6,8th, 2 minutes 30 seconds,6,21
7,9th, 2 minutes 51 seconds,4,27
8,10th, 3 minutes 12 seconds,6,31
9,11th, 3 minutes 36 seconds,3,37
10,12th, 4 minutes 2 seconds,2,40
11,13th, 4 minutes 26 seconds,1,42
12,18th, 6 minutes 45 seconds,1,43
13,19th, 7 minutes 13 seconds,1,44
14,20th, 7 minutes 43 seconds,1,45
15,21st, 8 minutes 11 seconds,2,46
16,25th, 10 minutes 7 seconds,1,48
17,30th, 12 minutes 29 seconds,1,49
18,32nd, 13 minutes 28 seconds,1,50
19,34th, 14 minutes 31 seconds,1,51
20,39th, 17 minutes 18 seconds,1,52
21,41st, 18 minutes 28 seconds,1,53
22,42nd, 19 minutes 4 seconds,1,54
23,43rd, 19 minutes 40 seconds,2,55
24,44th, 20 minutes 14 seconds,1,57
25,48th, 22 minutes 45 seconds,1,58
26,51st, 24 minutes 44 seconds,1,59
27,56th, 28 minutes 4 seconds,1,60
28,57th, 28 minutes 44 seconds,1,61
29,59th, 30 minutes 0 seconds,2,62
30,60th, 30 minutes 41 seconds,2,64
31,61st, 31 minutes 32 seconds,3,66
32,62nd, 32 minutes 18 seconds,1,69
33,69th, 38 minutes 8 seconds,1,70
34,70th, 39 minutes 3 seconds,1,71
35,71st, 39 minutes 53 seconds,1,72
36,75th, 43 minutes 6 seconds,1,73
37,86th, 51 minutes 44 seconds,1,74
38,88th, 53 minutes 22 seconds,3,75
39,89th, 54 minutes 9 seconds,2,78
40,94th, 58 minutes 3 seconds,1,80
41,95th, 58 minutes 55 seconds,1,81
42,98th, 1 hours 1 minutes 17 seconds,1,82
43,100th, 1 hours 3 minutes 0 seconds,2,83
44,106th, 1 hours 7 minutes 54 seconds,1,85
45,107th, 1 hours 8 minutes 42 seconds,1,86
46,111th, 1 hours 12 minutes 16 seconds,1,87
47,112th, 1 hours 13 minutes 18 seconds,1,88
48,114th, 1 hours 15 minutes 16 seconds,1,89
49,115th, 1 hours 16 minutes 17 seconds,1,90
50,116th, 1 hours 17 minutes 17 seconds,1,91
51,123rd, 1 hours 24 minutes 12 seconds,2,92
52,126th, 1 hours 27 minutes 8 seconds,1,94
53,128th, 1 hours 29 minutes 0 seconds,1,95
54,131st, 1 hours 31 minutes 55 seconds,1,96
55,132nd, 1 hours 33 minutes 0 seconds,1,97
56,133rd, 1 hours 33 minutes 24 seconds,2,98
