,世代,時間,出力数,前世代までの合計
0,1st, 17 seconds,1,0
1,3rd, 1 minutes 7 seconds,3,1
2,4th, 1 minutes 36 seconds,3,4
3,5th, 2 minutes 2 seconds,4,7
4,6th, 2 minutes 30 seconds,5,11
5,7th, 2 minutes 59 seconds,4,16
6,8th, 3 minutes 25 seconds,6,20
7,9th, 4 minutes 5 seconds,2,26
8,10th, 4 minutes 43 seconds,1,28
9,11th, 5 minutes 18 seconds,1,29
10,12th, 5 minutes 55 seconds,4,30
11,13th, 6 minutes 30 seconds,2,34
12,14th, 7 minutes 5 seconds,2,36
13,15th, 7 minutes 43 seconds,2,38
14,16th, 8 minutes 24 seconds,2,40
15,17th, 9 minutes 3 seconds,2,42
16,19th, 10 minutes 32 seconds,1,44
17,21st, 11 minutes 54 seconds,1,45
18,23rd, 13 minutes 16 seconds,1,46
19,24th, 14 minutes 0 seconds,1,47
20,25th, 14 minutes 41 seconds,1,48
21,27th, 16 minutes 6 seconds,1,49
22,30th, 18 minutes 17 seconds,3,50
23,33rd, 20 minutes 30 seconds,1,53
24,34th, 21 minutes 14 seconds,1,54
25,35th, 21 minutes 59 seconds,7,55
26,36th, 22 minutes 43 seconds,1,62
27,37th, 23 minutes 28 seconds,1,63
28,38th, 24 minutes 9 seconds,1,64
29,42nd, 27 minutes 3 seconds,1,65
30,43rd, 27 minutes 38 seconds,1,66
31,47th, 30 minutes 7 seconds,1,67
32,49th, 31 minutes 21 seconds,3,68
33,52nd, 33 minutes 7 seconds,2,71
34,55th, 35 minutes 14 seconds,2,73
35,56th, 35 minutes 54 seconds,1,75
36,57th, 36 minutes 35 seconds,3,76
37,61st, 39 minutes 32 seconds,1,79
38,65th, 42 minutes 12 seconds,1,80
39,68th, 44 minutes 25 seconds,1,81
40,70th, 45 minutes 45 seconds,1,82
41,73rd, 47 minutes 55 seconds,1,83
42,74th, 48 minutes 36 seconds,1,84
43,75th, 49 minutes 19 seconds,1,85
44,76th, 50 minutes 1 seconds,1,86
45,77th, 50 minutes 49 seconds,1,87
46,79th, 52 minutes 22 seconds,3,88
47,80th, 53 minutes 14 seconds,2,91
48,81st, 54 minutes 2 seconds,3,93
49,82nd, 54 minutes 36 seconds,4,96
