,世代,時間,出力数,前世代までの合計
0,1st, 12 seconds,3,0
1,4th, 1 minutes 9 seconds,4,3
2,5th, 1 minutes 35 seconds,4,7
3,6th, 1 minutes 58 seconds,8,11
4,7th, 2 minutes 20 seconds,6,19
5,8th, 2 minutes 46 seconds,8,25
6,9th, 3 minutes 11 seconds,1,33
7,10th, 3 minutes 37 seconds,1,34
8,11th, 4 minutes 2 seconds,2,35
9,12th, 4 minutes 29 seconds,1,37
10,13th, 4 minutes 58 seconds,2,38
11,14th, 5 minutes 26 seconds,3,40
12,15th, 5 minutes 54 seconds,1,43
13,18th, 7 minutes 27 seconds,1,44
14,19th, 8 minutes 0 seconds,2,45
15,20th, 8 minutes 34 seconds,1,47
16,24th, 10 minutes 40 seconds,1,48
17,25th, 11 minutes 14 seconds,1,49
18,26th, 11 minutes 47 seconds,1,50
19,27th, 12 minutes 20 seconds,1,51
20,30th, 13 minutes 56 seconds,1,52
21,31st, 14 minutes 33 seconds,1,53
22,35th, 16 minutes 49 seconds,1,54
23,36th, 17 minutes 24 seconds,1,55
24,37th, 17 minutes 58 seconds,1,56
25,38th, 18 minutes 35 seconds,2,57
26,39th, 19 minutes 13 seconds,3,59
27,40th, 19 minutes 49 seconds,3,62
28,41st, 20 minutes 30 seconds,2,65
29,42nd, 21 minutes 7 seconds,1,67
30,43rd, 21 minutes 44 seconds,2,68
31,44th, 22 minutes 26 seconds,1,70
32,48th, 25 minutes 4 seconds,1,71
33,52nd, 27 minutes 47 seconds,2,72
34,53rd, 28 minutes 27 seconds,1,74
35,54th, 29 minutes 8 seconds,1,75
36,55th, 29 minutes 53 seconds,2,76
37,62nd, 34 minutes 30 seconds,1,78
38,64th, 35 minutes 51 seconds,1,79
39,66th, 37 minutes 10 seconds,1,80
40,67th, 37 minutes 53 seconds,1,81
41,70th, 39 minutes 56 seconds,2,82
42,72nd, 41 minutes 17 seconds,1,84
43,73rd, 42 minutes 1 seconds,2,85
44,74th, 42 minutes 45 seconds,1,87
45,75th, 43 minutes 24 seconds,3,88
46,77th, 44 minutes 51 seconds,2,91
47,78th, 45 minutes 40 seconds,3,93
48,79th, 46 minutes 28 seconds,1,96
49,81st, 48 minutes 3 seconds,1,97
50,83rd, 49 minutes 2 seconds,2,98
