,0,1
0,23,2
1,35,3
2,1991,4
3,2005,5
4,2028,8
5,2041,11
6,2043,12
7,2046,13
8,2055,17
9,2069,19
10,2085,20
11,2101,21
12,4064,23
13,6058,24
14,6067,25
15,8101,26
16,8130,27
17,8720,28
18,9978,29
19,9982,30
20,10014,31
21,10034,32
22,10049,33
23,10058,34
24,12046,36
25,14042,38
26,14059,40
27,14244,41
28,14290,42
29,16004,43
30,16077,49
31,18344,50
32,20058,54
33,20665,55
34,22127,56
35,24379,57
36,24401,58
37,24518,59
38,26149,60
39,26567,61
40,28483,62
41,28522,63
42,30203,65
43,30440,66
44,34286,67
45,34585,68
46,35038,69
47,38584,70
48,38698,71
49,39347,72
50,39403,73
51,41180,74
52,42084,75
53,42600,76
54,42677,77
55,44736,79
56,46730,80
57,47051,82
58,47309,83
59,48728,84
60,48751,85
61,48878,86
62,49115,87
63,49624,88
64,49705,89
65,49762,90
66,50830,91
67,51167,92
68,51428,94
69,51507,95
70,51826,96
71,52880,97
72,52928,98
73,54637,99
74,54662,100
75,54688,101
76,55054,102
77,55083,103
78,55111,104
79,55712,105
80,55739,106
81,56692,107
82,59038,108
83,59151,109
84,60666,110
85,63213,111
86,63715,112
87,63815,113
88,63999,114
89,67331,115
90,67948,116
91,68184,117
92,69221,118
93,69249,119
94,70523,120
95,71289,121
96,71431,122
97,72401,123
98,72752,124
99,74187,125
100,74300,126
101,75585,127
102,76793,128
103,76917,129
104,77628,130
105,78483,131
106,79005,132
107,82901,133
108,84493,134
109,85213,135
110,85713,136
