,世代,時間,出力数,前世代までの合計
0,1st, 24 minutes 7 seconds,1,0
1,4th, 2 hours 33 minutes 41 seconds,2,1
2,5th, 2 hours 59 minutes 57 seconds,2,3
3,6th, 3 hours 12 seconds,1,5
4,7th, 3 hours 48 minutes 28 seconds,1,6
5,8th, 4 hours 36 minutes 44 seconds,2,7
6,10th, 5 hours 16 minutes 17 seconds,1,9
7,12th, 5 hours 31 minutes 54 seconds,2,10
8,14th, 5 hours 59 minutes 34 seconds,1,12
9,16th, 7 hours 3 minutes 14 seconds,1,13
10,18th, 7 hours 19 minutes 3 seconds,1,14
11,20th, 7 hours 58 minutes 53 seconds,1,15
12,22nd, 8 hours 14 minutes 43 seconds,4,16
13,25th, 8 hours 30 minutes 58 seconds,2,20
14,26th, 8 hours 55 minutes 27 seconds,1,22
15,27th, 9 hours 10 minutes 55 seconds,2,23
16,28th, 9 hours 59 minutes 21 seconds,2,25
17,29th, 10 hours 1 minutes 49 seconds,2,27
18,30th, 10 hours 19 minutes 19 seconds,1,29
19,31st, 10 hours 43 minutes 48 seconds,2,30
20,34th, 11 hours 9 minutes 15 seconds,1,32
21,35th, 11 hours 9 minutes 46 seconds,1,33
22,36th, 11 hours 34 minutes 15 seconds,1,34
23,40th, 11 hours 51 minutes 15 seconds,3,35
24,41st, 11 hours 51 minutes 47 seconds,2,38
25,45th, 11 hours 53 minutes 59 seconds,1,40
26,46th, 12 hours 9 minutes 32 seconds,2,41
27,48th, 12 hours 10 minutes 42 seconds,1,43
28,50th, 12 hours 20 minutes 51 seconds,1,44
29,51st, 12 hours 21 minutes 26 seconds,1,45
30,52nd, 12 hours 22 minutes 0 seconds,1,46
31,54th, 12 hours 47 minutes 14 seconds,1,47
32,56th, 13 hours 24 minutes 27 seconds,1,48
33,57th, 13 hours 25 minutes 5 seconds,2,49
34,59th, 13 hours 26 minutes 23 seconds,2,51
35,67th, 13 hours 31 minutes 32 seconds,1,53
36,75th, 13 hours 37 minutes 6 seconds,1,54
37,80th, 13 hours 40 minutes 35 seconds,2,55
38,81st, 13 hours 41 minutes 18 seconds,2,57
39,82nd, 13 hours 41 minutes 59 seconds,1,59
40,83rd, 13 hours 42 minutes 40 seconds,4,60
41,86th, 13 hours 44 minutes 46 seconds,1,64
42,89th, 13 hours 46 minutes 58 seconds,1,65
43,93rd, 13 hours 49 minutes 56 seconds,1,66
44,105th, 14 hours 47 minutes 4 seconds,3,67
45,116th, 16 hours 52 minutes 14 seconds,1,70
46,117th, 16 hours 53 minutes 3 seconds,2,71
47,120th, 16 hours 55 minutes 31 seconds,1,73
48,135th, 18 hours 42 minutes 10 seconds,1,74
49,137th, 18 hours 44 minutes 6 seconds,2,75
50,142nd, 18 hours 49 minutes 20 seconds,1,77
51,145th, 18 hours 52 minutes 26 seconds,1,78
52,149th, 18 hours 56 minutes 33 seconds,1,79
53,150th, 18 hours 57 minutes 31 seconds,1,80
54,160th, 19 hours 7 minutes 36 seconds,1,81
55,166th, 19 hours 13 minutes 46 seconds,1,82
56,172nd, 19 hours 32 minutes 10 seconds,1,83
57,174th, 19 hours 34 minutes 29 seconds,1,84
58,177th, 20 hours 2 minutes 7 seconds,2,85
59,180th, 20 hours 7 minutes 0 seconds,1,87
60,182nd, 20 hours 9 minutes 24 seconds,1,88
61,188th, 21 hours 7 minutes 24 seconds,3,89
62,189th, 21 hours 23 minutes 38 seconds,1,92
63,191st, 21 hours 26 minutes 8 seconds,1,93
64,197th, 21 hours 33 minutes 37 seconds,1,94
65,198th, 21 hours 34 minutes 53 seconds,1,95
66,200th, 21 hours 37 minutes 29 seconds,2,96
67,203rd, 21 hours 55 minutes 52 seconds,2,98
