,世代,時間,出力数,前世代までの合計
0,1st, 16 minutes 45 seconds,1,0
1,3rd, 2 hours 46 minutes 3 seconds,2,1
2,5th, 2 hours 58 minutes 24 seconds,1,3
3,6th, 5 hours 10 minutes 28 seconds,1,4
4,7th, 5 hours 25 minutes 40 seconds,2,5
5,8th, 5 hours 25 minutes 53 seconds,1,7
6,9th, 5 hours 26 minutes 5 seconds,1,8
7,10th, 5 hours 26 minutes 18 seconds,1,9
8,12th, 5 hours 26 minutes 49 seconds,1,10
9,13th, 5 hours 27 minutes 4 seconds,1,11
10,14th, 5 hours 27 minutes 20 seconds,1,12
11,15th, 5 hours 27 minutes 37 seconds,1,13
12,16th, 5 hours 27 minutes 55 seconds,1,14
13,17th, 5 hours 28 minutes 15 seconds,1,15
14,18th, 5 hours 28 minutes 35 seconds,1,16
15,20th, 6 hours 9 minutes 25 seconds,2,17
16,23rd, 6 hours 22 minutes 20 seconds,3,19
17,26th, 6 hours 23 minutes 19 seconds,1,22
18,27th, 6 hours 23 minutes 41 seconds,1,23
19,30th, 6 hours 24 minutes 57 seconds,2,24
20,32nd, 6 hours 25 minutes 58 seconds,2,26
21,35th, 6 hours 42 minutes 33 seconds,1,28
22,37th, 7 hours 7 minutes 36 seconds,1,29
23,38th, 7 hours 8 minutes 8 seconds,1,30
24,39th, 7 hours 8 minutes 38 seconds,1,31
25,42nd, 7 hours 25 minutes 19 seconds,1,32
26,43rd, 7 hours 25 minutes 53 seconds,4,33
27,44th, 7 hours 26 minutes 27 seconds,1,37
28,45th, 7 hours 27 minutes 4 seconds,2,38
29,48th, 7 hours 52 minutes 56 seconds,1,40
30,52nd, 7 hours 55 minutes 24 seconds,1,41
31,53rd, 7 hours 56 minutes 2 seconds,3,42
32,57th, 7 hours 58 minutes 39 seconds,1,45
33,58th, 7 hours 59 minutes 19 seconds,2,46
34,59th, 8 hours 0 seconds,2,48
35,61st, 8 hours 1 minutes 21 seconds,1,50
36,62nd, 8 hours 2 minutes 1 seconds,2,51
37,63rd, 8 hours 2 minutes 42 seconds,1,53
38,64th, 8 hours 3 minutes 21 seconds,1,54
39,65th, 8 hours 4 minutes 0 seconds,1,55
40,67th, 8 hours 5 minutes 19 seconds,1,56
41,68th, 8 hours 6 minutes 1 seconds,2,57
42,69th, 8 hours 6 minutes 41 seconds,1,59
43,72nd, 8 hours 8 minutes 48 seconds,3,60
44,73rd, 8 hours 9 minutes 30 seconds,3,63
45,74th, 8 hours 25 minutes 12 seconds,2,66
46,78th, 8 hours 28 minutes 10 seconds,1,68
47,79th, 8 hours 28 minutes 55 seconds,1,69
48,81st, 8 hours 30 minutes 27 seconds,1,70
49,82nd, 8 hours 31 minutes 13 seconds,1,71
50,87th, 8 hours 35 minutes 4 seconds,1,72
51,88th, 8 hours 50 minutes 53 seconds,1,73
52,89th, 9 hours 15 minutes 40 seconds,1,74
53,90th, 9 hours 16 minutes 29 seconds,1,75
54,91st, 9 hours 17 minutes 15 seconds,1,76
55,95th, 9 hours 59 minutes 27 seconds,1,77
56,96th, 10 hours 17 seconds,1,78
57,97th, 10 hours 1 minutes 7 seconds,2,79
58,98th, 10 hours 1 minutes 52 seconds,1,81
59,99th, 10 hours 2 minutes 42 seconds,1,82
60,100th, 10 hours 3 minutes 33 seconds,1,83
61,101st, 10 hours 19 minutes 17 seconds,1,84
62,103rd, 10 hours 36 minutes 3 seconds,2,85
63,104th, 10 hours 36 minutes 57 seconds,3,87
64,105th, 10 hours 37 minutes 50 seconds,1,90
65,106th, 10 hours 38 minutes 43 seconds,1,91
66,109th, 10 hours 56 minutes 25 seconds,1,92
67,112th, 10 hours 59 minutes 5 seconds,1,93
68,113th, 10 hours 59 minutes 59 seconds,1,94
69,115th, 11 hours 1 minutes 53 seconds,2,95
70,116th, 11 hours 2 minutes 50 seconds,1,97
71,117th, 11 hours 3 minutes 6 seconds,2,98
