,世代,時間,出力数,前世代までの合計
0,1st, 3 minutes 4 seconds,1,0
1,2nd, 15 minutes 9 seconds,2,1
2,3rd, 1 hours 33 minutes 19 seconds,1,3
3,4th, 1 hours 45 minutes 28 seconds,4,4
4,5th, 1 hours 51 minutes 36 seconds,3,8
5,6th, 2 hours 45 seconds,6,11
6,7th, 2 hours 27 minutes 54 seconds,3,17
7,8th, 2 hours 52 minutes 4 seconds,7,20
8,10th, 3 hours 4 minutes 28 seconds,4,27
9,11th, 3 hours 19 minutes 40 seconds,7,31
10,12th, 3 hours 25 minutes 53 seconds,3,38
11,13th, 3 hours 50 minutes 6 seconds,5,41
12,14th, 4 hours 2 minutes 19 seconds,5,46
13,15th, 4 hours 12 minutes 49 seconds,4,51
14,16th, 4 hours 14 minutes 20 seconds,2,55
15,17th, 4 hours 26 minutes 35 seconds,4,57
16,18th, 4 hours 35 minutes 50 seconds,6,61
17,19th, 4 hours 39 minutes 4 seconds,4,67
18,20th, 4 hours 45 minutes 18 seconds,3,71
19,21st, 4 hours 54 minutes 31 seconds,4,74
20,22nd, 5 hours 45 seconds,4,78
21,23rd, 5 hours 9 minutes 58 seconds,3,82
22,24th, 5 hours 22 minutes 13 seconds,3,85
23,25th, 5 hours 34 minutes 26 seconds,3,88
24,26th, 5 hours 52 minutes 40 seconds,1,91
25,27th, 5 hours 58 minutes 55 seconds,4,92
26,28th, 6 hours 34 minutes 58 seconds,4,96
